,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ADAMS, 904 ," $3,337 "," $2,169 ", $- , $208 , $- , $- , $68 , $892 ,144,,,,
ASOTIN," 2,314 "," $12,626 "," $7,397 ", $- , $511 , $- , $- , $110 ," $4,608 ",679,,,,
BENTON," 15,444 "," $73,135 "," $41,162 ", $- ," $5,861 ", $- , $- , $980 ," $25,132 ","3,316",,,,
CHELAN," 5,880 "," $26,165 "," $15,831 ", $- ," $1,089 ", $- , $- , $406 ," $8,840 ","1,226",,,,
CLALLAM," 9,686 "," $54,246 "," $33,448 ", $- ," $2,041 ", $- , $- , $716 ," $18,042 ","1,980",,,,
CLARK," 38,641 "," $266,068 "," $117,854 ", $- ," $21,553 ", $- , $- ," $1,802 "," $124,858 ","10,366",,,,
COLUMBIA, 441 ," $3,654 "," $1,652 ", $- , $112 , $- , $- , $37 ," $1,853 ",181,,,,
COWLITZ," 11,287 "," $69,719 "," $35,092 ", $- ," $3,371 ", $- , $- , $665 ," $30,591 ","2,661",,,,
DOUGLAS," 3,242 "," $12,175 "," $7,711 ", $- , $572 , $- , $- , $88 ," $3,804 ",620,,,,
FERRY, 993 ," $6,676 "," $4,015 ", $- , $51 , $- , $- , $13 ," $2,598 ",310,,,,
FRANKLIN," 4,048 "," $21,013 "," $12,338 ", $- ," $1,908 ", $- , $- , $234 ," $6,533 ",953,,,,
GARFIELD, 234 ," $1,606 ", $874 , $- , $11 , $- , $- , $260 , $461 ,79,,,,
GRANT," 5,981 "," $26,509 "," $16,640 ", $- ," $1,791 ", $- , $- , $245 ," $7,833 ","1,127",,,,
GRAYS HARBOR," 7,793 "," $42,655 "," $25,760 ", $- ," $1,439 ", $- , $- , $313 ," $15,142 ","1,698",,,,
ISLAND," 14,275 "," $93,790 "," $65,286 ", $- ," $11,314 ", $- , $- , $935 ," $16,255 ","2,075",,,,
