Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,WI,ADAMS,"2,151","$18,551 ","$6,346 ", $- ,$134 , $- , $- ,$38 ,"$12,033 ","1,054"
15,WI,ASHLAND,"1,288","$8,429 ","$4,568 ", $- ,$249 , $- , $- ,$73 ,"$3,539 ",445
15,WI,BARRON,"3,691","$22,671 ","$11,283 ", $- ,$906 , $- , $- ,$165 ,"$10,317 ","1,319"
15,WI,BAYFIELD,"1,697","$9,239 ","$4,720 ", $- ,$161 , $- , $- ,$64 ,"$4,293 ",538
15,WI,BROWN,"16,891","$99,629 ","$46,758 ", $- ,"$6,674 ", $- , $- ,"$1,302 ","$44,895 ","5,904"
15,WI,BUFFALO,"1,095","$7,037 ","$4,005 ", $- ,$178 , $- , $- ,$71 ,"$2,783 ",408
15,WI,BURNETT,"1,705","$12,783 ","$5,623 ", $- ,$164 , $- , $- ,$104 ,"$6,891 ",675
15,WI,CALUMET,"3,044","$13,040 ","$4,589 ", $- ,$393 , $- , $- ,$295 ,"$7,763 ","1,082"
15,WI,CHIPPEWA,"5,389","$32,959 ","$15,011 ", $- ,"$1,209 ", $- , $- ,$247 ,"$16,493 ","1,837"
15,WI,CLARK,"2,038","$15,868 ","$8,783 ", $- ,$240 , $- , $- ,$41 ,"$6,803 ",895
15,WI,COLUMBIA,"4,917","$27,439 ","$12,283 ", $- ,"$1,341 ", $- , $- ,$255 ,"$13,560 ","1,375"
15,WI,CRAWFORD,"1,321","$8,672 ","$3,773 ", $- ,$125 , $- , $- ,$51 ,"$4,723 ",441
15,WI,DANE,"28,096","$186,421 ","$63,328 ","$6,290 ","$12,421 ", $- ,"$2,054 ","$3,388 ","$98,939 ","7,129"
15,WI,DODGE,"6,979","$32,138 ","$13,224 ", $- ,"$1,569 ", $- , $- ,$426 ,"$16,919 ","1,764"
15,WI,DOOR,"2,514","$13,791 ","$5,944 ", $- ,$347 , $- , $- ,$381 ,"$7,119 ",880
15,WI,DOUGLAS,"4,285","$31,282 ","$16,291 ", $- ,"$1,511 ", $- , $- ,$380 ,"$13,100 ","1,440"
15,WI,DUNN,"3,295","$18,671 ","$9,513 ", $- ,"$1,385 ", $- , $- ,$268 ,"$7,505 ",790
15,WI,EAU CLAIRE,"7,512","$35,462 ","$17,004 ", $- ,"$2,998 ", $- , $- ,$597 ,"$14,864 ","1,842"
15,WI,FLORENCE,511,"$8,357 ","$2,467 ", $- ,$88 , $- , $- ,$14 ,"$5,788 ",296
15,WI,FOND DU LAC,"7,958","$32,250 ","$15,523 ", $- ,"$1,980 ", $- , $- ,$655 ,"$14,092 ","1,973"
15,WI,FOREST,907,"$10,580 ","$4,766 ", $- ,$70 , $- , $- ,$47 ,"$5,697 ",503
15,WI,GRANT,"3,273","$18,285 ","$8,011 ", $- ,$897 , $- , $- ,$386 ,"$8,991 ","1,005"
15,WI,GREEN,"2,699","$13,997 ","$6,368 ", $- ,$417 , $- , $- ,$238 ,"$6,974 ",714
