ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
15,WY,ALBANY,"2,209","$18,754 ","$7,882 ", $- ,"$4,367 ", $- , $- ,$371 ,"$6,134 ",780
15,WY,BIG HORN,970,"$5,554 ","$2,237 ", $- ,$190 , $- , $- ,$29 ,"$3,098 ",381
15,WY,CAMPBELL,"3,335","$18,445 ","$6,920 ", $- ,$698 , $- , $- ,$54 ,"$10,774 ","1,110"
15,WY,CARBON,"1,374","$8,828 ","$3,377 ", $- ,$160 , $- , $- ,$61 ,"$5,230 ",415
15,WY,CONVERSE,"1,184","$5,520 ","$2,341 ", $- ,$140 , $- , $- ,$158 ,"$2,880 ",339
15,WY,CROOK,587,"$5,921 ","$1,455 ", $- ,$70 , $- , $- ,$71 ,"$4,326 ",283
15,WY,FREMONT,"3,164","$21,597 ","$9,428 ", $- ,$517 , $- , $- ,$195 ,"$11,456 ","1,295"
15,WY,GOSHEN,"1,083","$8,889 ","$4,101 ", $- ,$219 , $- , $- ,$83 ,"$4,486 ",459
15,WY,HOT SPRINGS,515,"$3,601 ","$1,531 ", $- ,$32 , $- , $- ,$6 ,"$2,032 ",228
15,WY,JOHNSON,744,"$11,010 ","$3,197 ", $- ,$113 , $- , $- ,$94 ,"$7,606 ",470
15,WY,LARAMIE,"13,199","$139,032 ","$53,003 ","$5,685 ","$6,863 ", $- ,"$1,163 ",$558 ,"$71,761 ","5,017"
15,WY,LINCOLN,"1,232","$6,076 ","$2,466 ", $- ,$132 , $- , $- ,$53 ,"$3,426 ",413
15,WY,NATRONA,"5,940","$33,258 ","$15,090 ", $- ,"$1,353 ", $- , $- ,$344 ,"$16,471 ","1,975"
15,WY,NIOBRARA,212,"$2,173 ",$568 , $- ,$13 , $- , $- ,$64 ,"$1,528 ",92
15,WY,PARK,"2,553","$18,978 ","$7,810 ", $- ,$526 , $- , $- ,$311 ,"$10,332 ","1,041"
15,WY,PLATTE,942,"$9,320 ","$3,745 ", $- ,$218 , $- , $- ,$6 ,"$5,351 ",411
15,WY,SHERIDAN,"2,699","$66,304 ","$14,107 ",$350 ,$637 , $- ,$630 ,$86 ,"$50,495 ","2,049"
15,WY,SUBLETTE,556,"$2,677 ","$1,217 ", $- ,$98 , $- , $- ,$30 ,"$1,332 ",184
15,WY,SWEETWATER,"3,486","$18,561 ","$7,510 ", $- ,$342 , $- , $- ,$48 ,"$10,661 ","1,040"
15,WY,TETON,"1,113","$2,776 ","$1,430 ", $- ,$117 , $- , $- ,$185 ,"$1,044 ",167
15,WY,UINTA,"1,335","$9,515 ","$3,564 ", $- ,$172 , $- , $- ,$52 ,"$5,727 ",400
15,WY,WASHAKIE,740,"$3,246 ","$1,275 ", $- ,$159 , $- , $- ,$60 ,"$1,752 ",244
15,WY,WESTON,664,"$6,921 ","$1,910 ", $- ,$39 , $- , $- ,$108 ,"$4,864 ",299
,,,,,,,,,,,,
15,WY,WYOMING (Totals),"49,838","$426,957 ","$156,163 ","$6,034 ","$17,174 ", $- ,"$1,793 ","$3,028 ","$242,765 ","19,092"
,,,,,,,,,,,,
15,WY,CONG. DIST (01),"49,838","$426,957 ","$156,163 ","$6,034 ","$17,174 ", $- ,"$1,793 ","$3,028 ","$242,765 ","19,092"
,,,,,,,,,,,,
15,WY,WYOMING (Totals),"49,838","$426,957 ","$156,163 ","$6,034 ","$17,174 ", $- ,"$1,793 ","$3,028 ","$242,765 ","19,092"
