¥éË,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,AK,ALEUTIANS EAST,67,$144 ,$102 , $- ,$2 , $- , $- , $- ,$40 ,10
16,AK,ALEUTIANS WEST,152,$375 ,$157 , $- ,$8 , $- , $- ,$1 ,$209 ,26
16,AK,ANCHORAGE,"30,063","$317,801 ","$129,091 ",$55 ,"$38,248 ", $- ,"$26,627 ","$1,351 ","$122,428 ","9,158"
16,AK,BETHEL,722,"$1,852 ",$802 , $- ,$210 , $- , $- ,$17 ,$823 ,87
16,AK,BRISTOL BAY,37,$399 ,$215 , $- , $- , $- , $- , $- ,$185 ,18
16,AK,DENALI,222,"$1,202 ",$648 , $- ,$190 , $- , $- ,$0 ,$363 ,48
16,AK,DILLINGHAM,211,$947 ,$394 , $- ,$45 , $- , $- , $- ,$509 ,45
16,AK,FAIRBANKS N. STAR,"11,732","$99,531 ","$48,627 ", $- ,"$17,765 ", $- , $- ,$349 ,"$32,790 ","2,823"
16,AK,HAINES,236,"$1,162 ",$661 , $- ,$37 , $- , $- ,$14 ,$450 ,53
16,AK,HOONAH-ANGOON,161,"$1,088 ",$508 , $- ,$5 , $- , $- ,$2 ,$572 ,49
16,AK,JUNEAU,"2,258","$12,887 ","$6,250 ", $- ,"$1,950 ", $- , $- ,$32 ,"$4,655 ",497
16,AK,KENAI PENINSULA,"5,241","$47,640 ","$20,127 ", $- ,"$2,018 ", $- , $- ,$142 ,"$25,353 ","1,904"
16,AK,KETCHIKAN GATEWAY,"1,183","$4,843 ","$2,909 ", $- ,$426 , $- , $- ,$31 ,"$1,477 ",157
16,AK,KODIAK ISLAND,970,"$7,226 ","$3,727 ", $- ,"$1,005 ", $- , $- ,$1 ,"$2,494 ",241
16,AK,KUSILVAK,278,$465 ,$291 , $- ,$14 , $- , $- , $- ,$160 ,32
16,AK,LAKE AND PENINSULA,119,$151 ,$54 , $- ,$30 , $- , $- ,$10 ,$58 ,15
16,AK,MATANUSKA SUSITNA,"10,194","$114,135 ","$53,505 ", $- ,"$12,684 ", $- , $- ,$288 ,"$47,659 ","3,795"
16,AK,NOME,453,$999 ,$632 , $- ,$98 , $- , $- , $- ,$270 ,53
16,AK,NORTH SLOPE,324,$798 ,$296 , $- ,$51 , $- , $- ,$1 ,$449 ,32
16,AK,NORTHWEST ARCTIC,253,$531 ,$225 , $- ,$38 , $- , $- ,$0 ,$267 ,*
16,AK,PETERSBURG,236,"$1,228 ",$855 , $- ,$20 , $- , $- ,$11 ,$341 ,54
16,AK,PRINCE OF WALES-HYDER,437,"$3,393 ","$1,265 ", $- ,$100 , $- , $- , $- ,"$2,028 ",159
16,AK,SITKA,550,"$3,718 ","$1,553 ",$443 ,$389 , $- , $- ,$71 ,"$1,262 ",126
16,AK,SKAGWAY,91,$194 ,$97 , $- ,$3 , $- , $- ,$0 ,$94 ,15
16,AK,SOUTHEAST FAIRBANKS,890,"$8,078 ","$3,983 ", $- ,$671 , $- , $- ,$24 ,"$3,400 ",243
16,AK,VALDEZ CORDOVA,738,"$5,010 ","$2,221 ", $- ,$316 , $- , $- ,$1 ,"$2,472 ",208
16,AK,WRANGELL,240,"$1,342 ",$580 , $- ,$33 , $- , $- ,$0 ,$728 ,66
16,AK,YAKUTAT,60,$156 ,$94 , $- ,$29 , $- , $- , $- ,$34 ,*
16,AK,YUKON KOYUKUK,316,"$1,823 ",$736 , $- ,$133 , $- , $- , $- ,$954 ,111
,,,,,,,,,,,,
16,AK,ALASKA (Totals),"68,436","$639,119 ","$280,603 ",$498 ,"$76,518 ", $- ,"$26,627 ","$2,347 ","$252,525 ","20,037"
,,,,,,,,,,,,
16,AK,CONG. DIST (01),"68,436","$639,119 ","$280,603 ",$498 ,"$76,518 ", $- ,"$26,627 ","$2,347 ","$252,525 ","20,037"
,,,,,,,,,,,,
16,AK,ALASKA (Totals),"68,436","$639,119 ","$280,603 ",$498 ,"$76,518 ", $- ,"$26,627 ","$2,347 ","$252,525 ","20,037"
