,,,,,,,,,,,,,
,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,
ARKANSAS," 1,290 "," $11,436 "," $5,386 ", $- , $335 , $- , $- , $112 ," $5,604 ",432,,,
ASHLEY," 1,524 "," $13,524 "," $7,061 ", $- , $394 , $- , $- , $91 ," $5,978 ",482,,,
BAXTER," 5,129 "," $37,486 "," $22,539 ", $- , $916 , $- , $- , $373 ," $13,658 ","2,011",,,
BENTON," 16,857 "," $120,619 "," $61,941 ", $- ," $5,199 ", $- , $- ," $1,249 "," $52,231 ","6,342",,,
BOONE," 3,264 "," $26,502 "," $16,539 ", $- , $739 , $- , $- , $496 ," $8,728 ","1,309",,,
BRADLEY, 784 ," $6,324 "," $3,274 ", $- , $92 , $- , $- , $53 ," $2,905 ",240,,,
CALHOUN, 350 ," $2,511 "," $1,102 ", $- , $58 , $- , $- , $20 ," $1,331 ",147,,,
CARROLL," 2,342 "," $19,138 "," $8,857 ", $- , $249 , $- , $- , $99 ," $9,932 ",975,,,
CHICOT, 718 ," $9,255 "," $4,675 ", $- , $188 , $- , $- , $58 ," $4,335 ",282,,,
CLARK," 1,455 "," $13,634 "," $7,056 ", $- , $537 , $- , $- , $30 ," $6,010 ",452,,,
CLAY," 1,153 "," $12,680 "," $7,241 ", $- , $145 , $- , $- , $43 ," $5,251 ",514,,,
CLEBURNE," 2,760 "," $27,220 "," $13,682 ", $- , $447 , $- , $- , $290 ," $12,801 ","1,039",,,
CLEVELAND, 641 ," $6,667 "," $3,300 ", $- , $166 , $- , $- , $30 ," $3,171 ",258,,,
COLUMBIA," 1,654 "," $12,412 "," $7,038 ", $- , $565 , $- , $- , $190 ," $4,619 ",482,,,
CONWAY," 1,612 "," $19,609 "," $8,533 ", $- , $455 , $- , $- , $37 ," $10,585 ",719,,,
CRAIGHEAD," 6,083 "," $43,613 "," $27,167 ", $- ," $3,149 ", $- , $- , $576 ," $12,722 ","1,963",,,
CRAWFORD," 4,839 "," $47,170 "," $28,536 ", $- ," $1,649 ", $- , $- , $288 ," $16,698 ","2,311",,,
CRITTENDEN," 3,114 "," $29,078 "," $12,763 ", $- ," $1,439 ", $- , $- , $184 ," $14,691 ","1,077",,,
CROSS," 1,156 "," $8,984 "," $5,494 ", $- , $305 , $- , $- , $114 ," $3,071 ",367,,,
DALLAS, 551 ," $5,204 "," $2,313 ", $- , $124 , $- , $- , $10 ," $2,757 ",196,,,
DESHA, 766 ," $9,284 "," $4,550 ", $- , $220 , $- , $- , $33 ," $4,481 ",373,,,
DREW," 1,211 "," $10,249 "," $5,464 ", $- , $314 , $- , $- , $138 ," $4,333 ",411,,,
FAULKNER," 8,939 "," $85,178 "," $40,218 ", $- ," $5,864 ", $- , $- , $491 ," $38,605 ","2,975",,,
FRANKLIN," 1,440 "," $13,856 "," $8,496 ", $- , $467 , $- , $- , $34 ," $4,859 ",709,,,
FULTON," 1,183 "," $11,811 "," $6,623 ", $- , $179 , $- , $- , $47 ," $4,961 ",491,,,
GARLAND," 10,242 "," $84,322 "," $44,171 ", $- ," $2,231 ", $- , $- ," $1,159 "," $36,761 ","3,556",,,
GRANT," 1,355 "," $14,238 "," $7,447 ", $- , $394 , $- , $- , $115 ," $6,282 ",480,,,
GREENE," 2,956 "," $29,432 "," $18,450 ", $- , $875 , $- , $- , $198 ," $9,909 ","1,321",,,
HEMPSTEAD," 1,362 "," $9,984 "," $5,247 ", $- , $374 , $- , $- , $2 ," $4,360 ",396,,,
HOT SPRING," 2,748 "," $23,851 "," $11,408 ", $- , $546 , $- , $- , $97 ," $11,800 ","1,028",,,
HOWARD, 886 ," $6,348 "," $3,903 ", $- , $141 , $- , $- , $2 ," $2,302 ",270,,,
INDEPENDENCE," 2,683 "," $21,970 "," $12,125 ", $- , $613 , $- , $- , $97 ," $9,134 ",895,,,
IZARD," 1,438 "," $12,750 "," $6,919 ", $- , $269 , $- , $- , $153 ," $5,408 ",623,,,
JACKSON," 1,146 "," $8,643 "," $4,480 ", $- , $209 , $- , $- , $38 ," $3,917 ",354,,,
JEFFERSON," 5,315 "," $67,250 "," $35,162 ", $- ," $2,314 ", $- , $- , $334 ," $29,439 ","2,348",,,
JOHNSON," 1,834 "," $15,426 "," $8,115 ", $- , $442 , $- , $- , $58 ," $6,811 ",710,,,
LAFAYETTE, 408 ," $3,571 "," $1,734 ", $- , $62 , $- , $- , $1 ," $1,775 ",172,,,
LAWRENCE," 1,166 "," $11,220 "," $7,220 ", $- , $352 , $- , $- , $151 ," $3,496 ",414,,,
LEE, 348 ," $4,165 "," $2,138 ", $- , $132 , $- , $- , $11 ," $1,884 ",165,,,
LINCOLN, 662 ," $5,489 "," $3,329 ", $- , $161 , $- , $- , $7 ," $1,992 ",235,,,
LITTLE RIVER," 1,005 "," $7,046 "," $4,422 ", $- , $91 , $- , $- , $7 ," $2,526 ",338,,,
LOGAN," 1,765 "," $16,885 "," $10,437 ", $- , $386 , $- , $- , $55 ," $6,007 ",759,,,
LONOKE," 8,309 "," $90,119 "," $54,355 ", $- ," $7,722 ", $- , $- , $218 ," $27,824 ","2,524",,,
MADISON," 1,155 "," $13,237 "," $5,380 ", $- , $204 , $- , $- , $77 ," $7,576 ",642,,,
MARION," 2,109 "," $15,955 "," $9,328 ", $- , $376 , $- , $- , $128 ," $6,122 ",842,,,
MILLER," 3,476 "," $22,754 "," $12,997 ", $- , $738 , $- , $- , $141 ," $8,879 ",974,,,
MISSISSIPPI," 2,750 "," $25,208 "," $13,650 ", $- , $708 , $- , $- , $182 ," $10,667 ",916,,,
MONROE, 570 ," $6,359 "," $2,709 ", $- , $65 , $- , $- , $7 ," $3,579 ",245,,,
MONTGOMERY, 905 ," $8,667 "," $4,331 ", $- , $145 , $- , $- , $23 ," $4,168 ",408,,,
NEVADA, 712 ," $6,019 "," $3,311 ", $- , $153 , $- , $- , $4 ," $2,552 ",225,,,
NEWTON, 707 ," $6,210 "," $3,145 ", $- , $87 , $- , $- , $23 ," $2,954 ",310,,,
OUACHITA," 1,903 "," $18,828 "," $9,823 ", $- , $472 , $- , $- , $105 ," $8,428 ",783,,,
PERRY, 885 ," $9,597 "," $4,560 ", $- , $214 , $- , $- , $21 ," $4,803 ",368,,,
PHILLIPS," 1,131 "," $11,033 "," $5,470 ", $- , $399 , $- , $- , $44 ," $5,120 ",464,,,
PIKE, 822 ," $7,041 "," $3,047 ", $- , $153 , $- , $- , $74 ," $3,767 ",318,,,
POINSETT," 1,426 "," $12,040 "," $6,535 ", $- , $537 , $- , $- , $57 ," $4,911 ",563,,,
