,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ALAMEDA," 53,920 "," $495,133 "," $179,978 ", $307 ," $54,040 ", $- ," $39,515 "," $5,507 "," $215,787 ","12,970",,,,
ALPINE, 98 , $330 , $173 , $- , $14 , $- , $- , $15 , $128 ,19,,,,
AMADOR," 3,919 "," $25,461 "," $12,571 ", $- ," $1,306 ", $- , $- , $300 ," $11,283 ",999,,,,
BUTTE," 16,375 "," $117,995 "," $69,181 ", $- ," $6,573 ", $- , $- ," $1,368 "," $40,871 ","5,106",,,,
CALAVERAS," 4,398 "," $34,263 "," $17,841 ", $- ," $1,348 ", $- , $- , $298 ," $14,776 ","1,516",,,,
COLUSA, 891 ," $7,014 "," $4,193 ", $- , $280 , $- , $- , $78 ," $2,463 ",241,,,,
CONTRA COSTA," 51,832 "," $385,131 "," $165,105 "," $17,697 "," $42,875 ", $- ," $6,066 "," $5,002 "," $148,385 ","11,860",,,,
DEL NORTE," 2,183 "," $20,084 "," $12,523 ", $- , $699 , $- , $- , $61 ," $6,802 ",812,,,,
EL DORADO," 14,726 "," $92,302 "," $51,994 ", $- ," $5,345 ", $- , $- ," $1,665 "," $33,298 ","3,406",,,,
FRESNO," 40,870 "," $437,083 "," $178,207 "," $8,193 "," $37,055 ", $- ," $1,358 "," $2,961 "," $209,310 ","14,556",,,,
GLENN," 1,401 "," $9,240 "," $5,363 ", $- , $418 , $- , $- , $179 ," $3,279 ",468,,,,
HUMBOLDT," 8,907 "," $106,502 "," $47,624 ", $- ," $3,417 ", $- , $- , $675 ," $54,785 ","4,282",,,,
IMPERIAL," 6,297 "," $52,094 "," $30,556 ", $- ," $6,888 ", $- , $- , $215 ," $14,436 ","1,903",,,,
INYO," 1,432 "," $12,464 "," $6,036 ", $- , $274 , $- , $- , $85 ," $6,069 ",382,,,,
KERN," 40,308 "," $308,174 "," $183,312 ", $9 ," $42,225 ", $- ," $1,373 "," $1,822 "," $79,432 ","9,116",,,,
KINGS," 9,596 "," $86,452 "," $41,876 ", $- ," $16,270 ", $- , $- , $556 ," $27,750 ","2,349",,,,
LAKE," 5,630 "," $74,079 "," $31,164 ", $- ," $1,283 ", $- , $- , $362 ," $41,271 ","2,527",,,,
LASSEN," 2,245 "," $21,287 "," $10,014 ", $- , $586 , $- , $- , $59 ," $10,627 ",877,,,,
LOS ANGELES," 294,652 "," $2,728,740 "," $1,101,421 "," $13,327 "," $315,028 ", $- ," $46,723 "," $28,994 "," $1,223,248 ","74,863",,,,
MADERA," 7,684 "," $73,353 "," $35,155 ", $- ," $4,457 ", $- , $- , $259 ," $33,482 ","2,641",,,,
MARIN," 11,869 "," $76,499 "," $29,226 ", $- ," $4,293 ", $- , $- ," $1,847 "," $41,133 ","2,099",,,,
MARIPOSA," 1,727 "," $13,389 "," $6,903 ", $- , $300 , $- , $- , $116 ," $6,069 ",642,,,,
MENDOCINO," 5,899 "," $65,147 "," $30,422 ", $- ," $1,020 ", $- , $- , $685 ," $33,021 ","2,292",,,,
MERCED," 11,259 "," $88,711 "," $44,183 ", $564 ," $6,288 ", $- ," $2,591 ", $624 ," $34,459 ","3,193",,,,
MODOC, 798 ," $6,787 "," $3,641 ", $- , $125 , $- , $- , $33 ," $2,988 ",351,,,,
MONO, 827 ," $3,958 "," $2,209 ", $- , $232 , $- , $- , $5 ," $1,512 ",167,,,,
MONTEREY," 18,881 "," $199,459 "," $106,372 ", $- ," $16,154 ", $- , $37 ," $2,261 "," $74,635 ","6,692",,,,
NAPA," 8,935 "," $60,214 "," $33,298 ", $- ," $3,373 ", $- , $- , $758 ," $22,785 ","2,135",,,,
NEVADA," 8,632 "," $58,747 "," $37,584 ", $- ," $2,177 ", $- , $- , $656 ," $18,329 ","2,474",,,,
ORANGE," 115,115 "," $758,169 "," $384,322 ", $- ," $113,104 ", $- , $- ," $13,368 "," $247,376 ","23,629",,,,
PLACER," 28,155 "," $174,261 "," $104,597 ", $- ," $15,630 ", $- , $- ," $2,393 "," $51,642 ","6,238",,,,
PLUMAS," 1,996 "," $14,989 "," $7,568 ", $- , $148 , $- , $- , $71 ," $7,202 ",715,,,,
RIVERSIDE," 130,906 "," $1,242,553 "," $665,153 "," $2,000 "," $173,127 ", $- ," $9,669 "," $11,329 "," $381,274 ","37,938",,,,
SACRAMENTO," 87,027 "," $702,299 "," $361,594 ", $- ," $65,434 ", $- , $- ," $7,092 "," $268,180 ","22,642",,,,
SAN BENITO," 2,577 "," $25,331 "," $13,579 ", $- ," $1,703 ", $- , $- , $211 ," $9,838 ",890,,,,
SAN BERNARDINO," 102,270 "," $959,337 "," $466,053 "," $14,213 "," $103,069 ", $- ," $1,846 "," $5,990 "," $368,166 ","28,791",,,,
SAN DIEGO," 245,377 "," $2,499,165 "," $1,191,790 "," $17,310 "," $518,790 ", $- ," $69,902 "," $18,240 "," $683,134 ","66,974",,,,
SAN FRANCISCO," 24,199 "," $348,135 "," $77,498 "," $6,412 "," $30,162 ", $- ," $2,933 "," $2,466 "," $228,664 ","7,127",,,,
SAN JOAQUIN," 32,193 "," $274,796 "," $134,395 ", $- ," $24,494 ", $- , $- ," $1,839 "," $114,068 ","9,283",,,,
SAN LUIS OBISPO," 17,481 "," $105,477 "," $66,880 ", $- ," $6,454 ", $- , $- ," $1,649 "," $30,493 ","4,495",,,,
SAN MATEO," 24,333 "," $284,491 "," $71,389 "," $3,574 "," $21,594 ", $- ," $8,545 "," $3,382 "," $176,007 ","6,706",,,,
SANTA BARBARA," 22,547 "," $143,655 "," $87,933 ", $- ," $12,882 ", $- , $- ," $2,984 "," $39,856 ","5,338",,,,
SANTA CLARA," 55,727 "," $589,822 "," $171,035 "," $88,307 "," $42,431 ", $- ," $5,629 "," $6,679 "," $275,741 ","14,375",,,,
SANTA CRUZ," 11,274 "," $97,447 "," $47,117 ", $- ," $4,394 ", $- , $- ," $1,121 "," $44,814 ","3,415",,,,
SHASTA," 15,998 "," $164,686 "," $94,073 ", $- ," $6,308 ", $- , $- ," $1,793 "," $62,512 ","6,761",,,,
SIERRA, 339 ," $3,312 ", $858 , $- , $3 , $- , $- , $0 ," $2,450 ",147,,,,
SISKIYOU," 4,402 "," $30,411 "," $18,261 ", $- , $676 , $- , $- , $387 ," $11,088 ","1,716",,,,
SOLANO," 35,589 "," $362,572 "," $214,843 ", $- ," $46,438 ", $- , $- ," $2,127 "," $99,165 ","9,896",,,,
SONOMA," 24,343 "," $218,278 "," $99,626 ", $- ," $10,977 ", $- , $- ," $2,664 "," $105,011 ","7,523",,,,
STANISLAUS," 24,878 "," $205,546 "," $104,271 ", $- ," $14,940 ", $- , $- ," $1,926 "," $84,410 ","6,727",,,,
SUTTER," 6,517 "," $52,121 "," $31,977 ", $- ," $3,621 ", $- , $- , $314 ," $16,208 ","1,635",,,,
TEHAMA," 5,094 "," $37,550 "," $18,100 ", $- ," $1,010 ", $- , $- , $306 ," $18,134 ","1,950",,,,
TRINITY," 1,320 "," $10,761 "," $5,881 ", $- , $143 , $- , $- , $203 ," $4,535 ",508,,,,
TULARE," 16,389 "," $148,723 "," $78,560 ", $- ," $13,585 ", $- , $- , $762 ," $55,816 ","5,630",,,,
TUOLUMNE," 4,841 "," $47,851 "," $23,111 ", $- ," $1,235 ", $- , $- , $685 ," $22,820 ","2,096",,,,
VENTURA," 42,194 "," $284,652 "," $164,976 ", $- ," $38,245 ", $- , $- ," $4,576 "," $76,856 ","8,834",,,,
YOLO," 9,063 "," $64,380 "," $34,667 ", $- ," $9,273 ", $- , $- , $886 ," $19,553 ","1,990",,,,
YUBA," 6,880 "," $57,731 "," $34,037 ", $- ," $7,085 ", $- , $- , $253 ," $16,355 ","1,731",,,,
,,,,,,,,,,,,,,
CALIFORNIA (Totals),"1,735,213 "," $15,568,595 "," $7,252,271 "," $171,913 "," $1,861,300 ", $- ," $196,187 "," $153,143 "," $5,933,781 ","466,638 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 59,803 "," $474,158 "," $266,651 ", $- ," $19,453 ", $- , $- ," $4,891 "," $183,163 ","21,146",,,,
CONG. DIST (02)," 40,238 "," $358,194 "," $159,018 ", $- ," $13,251 ", $- , $- ," $4,357 "," $181,568 ","12,891",,,,
CONG. DIST (03)," 52,492 "," $467,282 "," $265,707 ", $- ," $51,160 ", $- , $- ," $3,291 "," $147,125 ","14,221",,,,
CONG. DIST (04)," 58,318 "," $417,201 "," $233,710 ", $2 ," $27,424 ", $- , $- ," $5,564 "," $150,500 ","15,477",,,,
CONG. DIST (05)," 40,889 "," $401,722 "," $209,815 ", $49 ," $32,471 ", $- , $- ," $3,976 "," $155,412 ","12,247",,,,
