ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,CO,ADAMS,"29,055","$188,220 ","$85,052 ", $- ,"$22,474 ", $- , $- ,"$1,674 ","$79,020 ","6,654"
16,CO,ALAMOSA,990,"$9,388 ","$5,205 ", $- ,$437 , $- , $- ,$53 ,"$3,692 ",410
16,CO,ARAPAHOE,"44,661","$313,098 ","$165,153 ", $- ,"$39,935 ", $- , $- ,"$2,997 ","$105,012 ","9,556"
16,CO,ARCHULETA,"1,167","$9,118 ","$5,092 ", $- ,$189 , $- , $- ,$95 ,"$3,741 ",459
16,CO,BACA,285,"$1,632 ",$953 , $- ,$45 , $- , $- ,$11 ,$623 ,80
16,CO,BENT,435,"$6,921 ","$3,503 ",$63 ,$176 , $- , $- ,$45 ,"$3,134 ",260
16,CO,BOULDER,"14,788","$72,265 ","$36,170 ", $- ,"$13,984 ", $- , $- ,"$2,750 ","$19,361 ","2,411"
16,CO,BROOMFIELD,"4,089","$24,210 ","$12,659 ", $- ,"$3,345 ", $- , $- ,$236 ,"$7,970 ",686
16,CO,CHAFFEE,"1,761","$8,845 ","$4,776 ", $- ,$321 , $- , $- ,$166 ,"$3,583 ",469
16,CO,CHEYENNE,128,$933 ,$504 , $- ,$2 , $- , $- ,$1 ,$425 ,44
16,CO,CLEAR CREEK,856,"$4,611 ","$1,876 ", $- ,$63 , $- , $- ,$134 ,"$2,538 ",211
16,CO,CONEJOS,544,"$5,988 ","$3,376 ", $- ,$152 , $- , $- ,$2 ,"$2,458 ",264
16,CO,COSTILLA,382,"$3,949 ","$2,214 ", $- ,$70 , $- , $- ,$49 ,"$1,616 ",197
16,CO,CROWLEY,294,"$3,799 ","$2,271 ", $- ,$22 , $- , $- ,$41 ,"$1,466 ",136
16,CO,CUSTER,542,"$5,145 ","$3,253 ", $- ,$55 , $- , $- ,$61 ,"$1,776 ",191
16,CO,DELTA,"3,032","$26,990 ","$11,211 ", $- ,$545 , $- , $- ,$157 ,"$15,077 ","1,319"
16,CO,DENVER,"32,925","$724,762 ","$110,125 ","$413,993 ","$29,114 ", $- ,"$18,424 ","$4,213 ","$148,893 ","9,341"
16,CO,DOLORES,154,"$1,478 ",$645 , $- ,$26 , $- , $- , $- ,$807 ,70
16,CO,DOUGLAS,"19,871","$106,331 ","$64,594 ", $- ,"$14,996 ", $- , $- ,"$1,853 ","$24,889 ","3,112"
16,CO,EAGLE,"1,575","$5,892 ","$3,211 ", $- ,$355 , $- , $- ,$214 ,"$2,113 ",316
16,CO,ELBERT,"2,338","$10,053 ","$5,543 ", $- ,$670 , $- , $- ,$28 ,"$3,813 ",422
16,CO,EL PASO,"98,711","$949,943 ","$591,670 ", $- ,"$184,511 ", $- , $- ,"$6,852 ","$166,910 ","24,229"
16,CO,FREMONT,"5,344","$41,504 ","$25,974 ", $- ,"$1,946 ", $- , $- ,$134 ,"$13,450 ","1,639"
16,CO,GARFIELD,"2,939","$18,424 ","$8,255 ", $- ,$893 , $- , $- ,$186 ,"$9,090 ","1,064"
16,CO,GILPIN,476,"$3,355 ","$1,756 ", $- ,$137 , $- , $- ,$0 ,"$1,463 ",125
16,CO,GRAND,795,"$5,337 ","$2,985 ", $- ,$101 , $- , $- ,$163 ,"$2,089 ",244
16,CO,GUNNISON,826,"$4,320 ","$2,152 ", $- ,$302 , $- , $- ,$14 ,"$1,851 ",248
16,CO,HINSDALE,115,$354 ,$233 , $- , $- , $- , $- ,$10 ,$111 ,18
16,CO,HUERFANO,739,"$8,537 ","$5,407 ", $- ,$61 , $- , $- ,$28 ,"$3,041 ",394
16,CO,JACKSON,117,$642 ,$391 , $- ,$15 , $- , $- ,$0 ,$236 ,37
16,CO,JEFFERSON,"39,483","$287,603 ","$126,142 ","$1,112 ","$30,021 ", $- ,"$40,922 ","$4,214 ","$85,192 ","8,039"
16,CO,KIOWA,89,$242 ,$122 , $- ,$8 , $- , $- ,$0 ,$111 ,28
16,CO,KIT CARSON,527,"$2,082 ",$801 , $- ,$123 , $- , $- ,$25 ,"$1,132 ",173
16,CO,LAKE,537,"$2,573 ","$1,442 ", $- ,$255 , $- , $- ,$2 ,$874 ,108
16,CO,LA PLATA,"3,593","$20,883 ","$12,011 ", $- ,"$1,109 ", $- , $- ,$402 ,"$7,361 ","1,158"
16,CO,LARIMER,"23,366","$147,445 ","$77,171 ", $- ,"$21,971 ", $- , $- ,"$2,038 ","$46,265 ","5,984"
16,CO,LAS ANIMAS,"1,341","$13,223 ","$7,512 ", $- ,$313 , $- , $- ,$79 ,"$5,319 ",558
16,CO,LINCOLN,360,"$2,147 ",$993 , $- ,$95 , $- , $- ,$16 ,"$1,043 ",102
16,CO,LOGAN,"1,548","$7,471 ","$3,513 ", $- ,$402 , $- , $- ,$97 ,"$3,459 ",374
16,CO,MESA,"12,624","$159,244 ","$51,442 ","$3,682 ","$7,431 ", $- ,$503 ,$917 ,"$95,268 ","6,468"
16,CO,MINERAL,86,$490 ,$361 , $- ,$3 , $- , $- ,$0 ,$126 ,32
16,CO,MOFFAT,833,"$6,120 ","$2,284 ", $- ,$206 , $- , $- ,$13 ,"$3,618 ",327
16,CO,MONTEZUMA,"2,265","$15,527 ","$10,087 ", $- ,$484 , $- , $- ,$159 ,"$4,798 ",789
16,CO,MONTROSE,"3,513","$29,841 ","$11,957 ", $- ,$982 , $- , $- ,$351 ,"$16,552 ","1,537"
16,CO,MORGAN,"1,558","$8,157 ","$3,808 ", $- ,$317 , $- , $- ,$83 ,"$3,949 ",393
16,CO,OTERO,"1,489","$16,562 ","$11,108 ", $- ,$279 , $- , $- ,$22 ,"$5,153 ",592
16,CO,OURAY,402,"$1,703 ",$641 , $- ,$81 , $- , $- ,$84 ,$897 ,128
16,CO,PARK,"1,678","$14,291 ","$8,304 ", $- ,$633 , $- , $- ,$278 ,"$5,078 ",478
16,CO,PHILLIPS,334,$983 ,$505 , $- ,$18 , $- , $- ,$103 ,$357 ,78
16,CO,PITKIN,671,"$1,805 ",$928 , $- ,$50 , $- , $- ,$26 ,$801 ,134
16,CO,PROWERS,713,"$5,836 ","$2,908 ", $- ,$163 , $- , $- ,$52 ,"$2,713 ",236
16,CO,PUEBLO,"14,777","$158,059 ","$89,769 ", $- ,"$8,294 ", $- , $- ,"$1,279 ","$58,717 ","5,640"
