,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ALACHUA," 16,513 "," $240,914 "," $72,056 "," $7,606 "," $12,753 ", $- ," $4,088 "," $2,012 "," $142,399 ","7,691",,,,
BAKER," 2,094 "," $14,275 "," $6,879 ", $- , $871 , $- , $- , $59 ," $6,466 ",654,,,,
BAY," 24,571 "," $166,244 "," $120,262 ", $- ," $14,613 ", $- , $- , $750 ," $30,619 ","5,675",,,,
BRADFORD," 2,337 "," $25,802 "," $8,051 ", $- , $742 , $- , $- , $106 ," $16,903 ","1,069",,,,
BREVARD," 70,275 "," $597,526 "," $337,739 "," $14,168 "," $43,508 ", $- ," $1,245 "," $5,464 "," $195,402 ","24,024",,,,
BROWARD," 85,475 "," $637,935 "," $312,052 ", $- ," $76,592 ", $- , $- ," $7,630 "," $241,662 ","24,453",,,,
CALHOUN," 1,348 "," $8,974 "," $4,556 ", $- , $355 , $- , $- , $21 ," $4,041 ",402,,,,
CHARLOTTE," 22,916 "," $132,112 "," $77,813 ", $- ," $3,486 ", $- , $- ," $1,510 "," $49,303 ","7,007",,,,
CITRUS," 20,569 "," $152,903 "," $75,400 ", $- ," $3,908 ", $- , $- ," $1,009 "," $72,585 ","8,397",,,,
CLAY," 27,337 "," $212,547 "," $127,932 ", $- ," $31,663 ", $- , $- ," $1,951 "," $51,000 ","7,222",,,,
COLLIER," 29,324 "," $99,911 "," $61,419 ", $- ," $4,921 ", $- , $- ," $3,097 "," $30,473 ","6,222",,,,
COLUMBIA," 6,749 "," $115,057 "," $35,912 ", $- ," $2,203 ", $- , $- , $266 ," $76,677 ","3,781",,,,
DE SOTO," 2,171 "," $14,596 "," $8,418 ", $- , $346 , $- , $- , $128 ," $5,705 ",752,,,,
DIXIE," 1,659 "," $20,202 "," $6,771 ", $- , $281 , $- , $- , $82 ," $13,068 ",819,,,,
DUVAL," 91,296 "," $630,106 "," $330,762 ", $298 ," $108,636 ", $- ," $1,389 "," $4,557 "," $184,464 ","25,228",,,,
ESCAMBIA," 41,556 "," $306,308 "," $193,875 "," $3,112 "," $29,134 ", $- ," $2,112 "," $2,477 "," $75,598 ","11,040",,,,
FLAGLER," 11,725 "," $76,572 "," $44,269 ", $- ," $4,688 ", $- , $- , $803 ," $26,812 ","3,655",,,,
FRANKLIN," 1,019 "," $6,801 "," $3,858 ", $- , $164 , $- , $- , $90 ," $2,688 ",397,,,,
GADSDEN," 3,527 "," $26,336 "," $12,538 ", $- , $893 , $- , $- , $348 ," $12,557 ","1,410",,,,
GILCHRIST," 1,681 "," $18,205 "," $6,780 ", $- , $409 , $- , $- , $304 ," $10,712 ",785,,,,
GLADES, 996 ," $7,100 "," $2,154 ", $- , $36 , $- , $- , $22 ," $4,889 ",418,,,,
GULF," 1,586 "," $10,970 "," $7,291 ", $- , $407 , $- , $- , $100 ," $3,171 ",502,,,,
