,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
HAWAII," 15,647 "," $118,859 "," $62,850 ", $- ," $4,822 ", $- , $- , $888 ," $50,299 ","4,493",,,,
HONOLULU," 83,746 "," $758,509 "," $321,525 "," $11,580 "," $197,292 ", $- ," $16,168 "," $10,146 "," $201,797 ","19,145",,,,
KALAWAO, 4 , $2 , $- , $- , $- , $- , $- , $- , $2 ,*,,,,
KAUAI," 4,489 "," $36,626 "," $16,722 ", $- ," $1,249 ", $- , $- , $338 ," $18,316 ",*,,,,
MAUI," 9,058 "," $72,119 "," $37,863 ", $- ," $3,065 ", $- , $- , $789 ," $30,403 ","2,434",,,,
,,,,,,,,,,,,,,
HAWAII (Totals),"112,944"," $986,114 "," $438,961 "," $11,580 "," $206,428 ", $- ," $16,168 "," $12,161 "," $300,816 ","27,537",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 59,546 "," $568,270 "," $242,073 "," $11,570 "," $148,539 ", $- ," $16,168 "," $7,639 "," $142,281 ","13,684",,,,
CONG. DIST (02)," 53,398 "," $417,844 "," $196,888 ", $10 ," $57,889 ", $- , $- ," $4,522 "," $158,535 ","13,853",,,,
,,,,,,,,,,,,,,
HAWAII (Totals),"112,944 "," $986,114 "," $438,961 "," $11,580 "," $206,428 ", $- ," $16,168 "," $12,161 "," $300,816 ","27,537 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
