,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ADAIR, 583 ," $4,215 "," $1,486 ", $- , $69 , $- , $- , $62 ," $2,597 ",193,,,,
ADAMS, 325 ," $2,427 ", $886 , $- , $50 , $- , $- , $31 ," $1,460 ",110,,,,
ALLAMAKEE," 1,052 "," $7,691 "," $3,497 ", $- , $109 , $- , $- , $54 ," $4,031 ",430,,,,
APPANOOSE," 1,020 "," $7,546 "," $3,550 ", $- , $175 , $- , $- , $18 ," $3,804 ",424,,,,
AUDUBON, 461 ," $3,498 "," $1,549 ", $- , $108 , $- , $- , $27 ," $1,814 ",172,,,,
BENTON," 2,072 "," $13,210 "," $5,066 ", $- , $496 , $- , $- , $555 ," $7,093 ",673,,,,
BLACK HAWK," 8,685 "," $47,354 "," $22,825 ", $- ," $3,219 ", $- , $- , $927 ," $20,383 ","2,415",,,,
BOONE," 2,106 "," $11,704 "," $5,464 ", $- , $700 , $- , $- , $248 ," $5,292 ",625,,,,
BREMER," 1,647 "," $7,914 "," $4,141 ", $- , $434 , $- , $- , $147 ," $3,192 ",498,,,,
BUCHANAN," 1,494 "," $7,232 "," $3,502 ", $- , $390 , $- , $- , $19 ," $3,321 ",419,,,,
BUENA VISTA," 1,045 "," $5,624 "," $2,993 ", $- , $328 , $- , $- , $108 ," $2,195 ",441,,,,
BUTLER," 1,010 "," $5,666 "," $3,218 ", $- , $267 , $- , $- , $10 ," $2,171 ",338,,,,
CALHOUN, 842 ," $4,320 "," $2,078 ", $- , $143 , $- , $- , $99 ," $2,001 ",318,,,,
CARROLL," 1,442 "," $6,962 "," $3,596 ", $- , $213 , $- , $- , $100 ," $3,053 ",586,,,,
CASS," 1,034 "," $7,513 "," $3,744 ", $- , $378 , $- , $- , $27 ," $3,364 ",357,,,,
CEDAR," 1,519 "," $7,451 "," $2,795 ", $- , $368 , $- , $- , $106 ," $4,182 ",450,,,,
CERRO GORDO," 3,511 "," $27,074 "," $14,633 ", $- , $413 , $- , $- , $185 ," $11,843 ","1,626",,,,
CHEROKEE, 965 ," $6,569 "," $3,363 ", $- , $146 , $- , $- , $50 ," $3,010 ",407,,,,
CHICKASAW, 945 ," $5,364 "," $2,576 ", $- , $171 , $- , $- , $43 ," $2,574 ",342,,,,
CLARKE, 697 ," $6,639 "," $2,972 ", $- , $195 , $- , $- , $103 ," $3,369 ",314,,,,
CLAY," 1,215 "," $6,259 "," $2,875 ", $- , $139 , $- , $- , $192 ," $3,053 ",481,,,,
CLAYTON," 1,363 "," $8,922 "," $4,200 ", $- , $187 , $- , $- , $40 ," $4,496 ",578,,,,
CLINTON," 3,921 "," $22,917 "," $10,241 ", $- ," $2,826 ", $- , $- , $319 ," $9,531 ","1,185",,,,
CRAWFORD, 986 ," $5,647 "," $3,023 ", $- , $73 , $- , $- , $16 ," $2,535 ",418,,,,
DALLAS," 4,147 "," $21,504 "," $8,664 ", $- ," $1,380 ", $- , $- , $278 ," $11,182 ","1,249",,,,
DAVIS, 591 ," $3,384 "," $1,814 ", $- , $66 , $- , $- , $25 ," $1,479 ",194,,,,
DECATUR, 478 ," $3,605 "," $1,661 ", $- , $201 , $- , $- , $16 ," $1,726 ",195,,,,
DELAWARE," 1,062 "," $4,958 "," $2,414 ", $- , $240 , $- , $- , $93 ," $2,210 ",386,,,,
DES MOINES," 3,418 "," $18,199 "," $8,791 ", $- , $836 , $- , $- , $252 ," $8,320 ",953,,,,
DICKINSON," 1,319 "," $8,846 "," $4,094 ", $- , $255 , $- , $- , $258 ," $4,239 ",636,,,,
DUBUQUE," 7,028 "," $38,617 "," $21,111 ", $- ," $2,301 ", $- , $- , $283 ," $14,922 ","2,289",,,,
EMMET, 782 ," $5,114 "," $2,407 ", $- , $167 , $- , $- , $31 ," $2,509 ",323,,,,
FAYETTE," 1,620 "," $10,575 "," $4,057 ", $- ," $1,052 ", $- , $- , $110 ," $5,356 ",579,,,,
FLOYD," 1,342 "," $9,206 "," $4,431 ", $- , $325 , $- , $- , $56 ," $4,393 ",524,,,,
FRANKLIN, 706 ," $5,012 "," $2,204 ", $- , $37 , $- , $- , $87 ," $2,684 ",297,,,,
FREMONT, 623 ," $4,751 "," $2,643 ", $- , $205 , $- , $- , $175 ," $1,728 ",191,,,,
GREENE, 750 ," $3,931 "," $1,681 ", $- , $94 , $- , $- , $97 ," $2,060 ",227,,,,
GRUNDY, 850 ," $4,522 "," $2,193 ", $- , $291 , $- , $- , $72 ," $1,965 ",304,,,,
GUTHRIE, 839 ," $5,550 "," $2,894 ", $- , $190 , $- , $- , $73 ," $2,394 ",313,,,,
HAMILTON," 1,212 "," $7,610 "," $3,697 ", $- , $232 , $- , $- , $40 ," $3,642 ",462,,,,
HANCOCK, 852 ," $5,277 "," $2,555 ", $- , $118 , $- , $- , $11 ," $2,594 ",393,,,,
HARDIN," 1,268 "," $7,474 "," $3,604 ", $- , $277 , $- , $- , $69 ," $3,525 ",449,,,,
HARRISON," 1,155 "," $7,521 "," $4,362 ", $- , $270 , $- , $- , $63 ," $2,826 ",372,,,,
HENRY," 1,455 "," $9,588 "," $4,780 ", $- , $485 , $- , $- , $46 ," $4,277 ",478,,,,
HOWARD, 664 ," $5,240 "," $2,567 ", $- , $166 , $- , $- , $149 ," $2,358 ",304,,,,
HUMBOLDT, 745 ," $4,242 "," $1,840 ", $- , $233 , $- , $- , $161 ," $2,008 ",355,,,,
IDA, 573 ," $2,918 "," $1,769 ", $- , $24 , $- , $- , $113 ," $1,012 ",189,,,,
IOWA," 1,197 "," $8,270 "," $2,987 ", $- , $250 , $- , $- , $176 ," $4,857 ",396,,,,
JACKSON," 1,586 "," $9,268 "," $4,838 ", $- , $389 , $- , $- , $25 ," $4,015 ",551,,,,
JASPER," 2,620 "," $15,731 "," $7,066 ", $- , $549 , $- , $- , $134 ," $7,981 ",830,,,,
JEFFERSON," 1,146 "," $6,137 "," $2,719 ", $- , $318 , $- , $- , $111 ," $2,988 ",370,,,,
JOHNSON," 6,279 "," $45,279 "," $15,429 ", $- ," $4,869 ", $- , $- , $880 ," $24,102 ","1,800",,,,
JONES," 1,706 "," $9,920 "," $4,514 ", $- , $355 , $- , $- , $15 ," $5,036 ",613,,,,
KEOKUK, 728 ," $6,338 "," $2,239 ", $- , $136 , $- , $- , $68 ," $3,896 ",326,,,,
KOSSUTH," 1,221 "," $6,114 "," $3,462 ", $- , $187 , $- , $- , $141 ," $2,324 ",551,,,,
LEE," 3,065 "," $18,017 "," $8,065 ", $- , $652 , $- , $- , $333 ," $8,967 ",839,,,,
LINN," 15,141 "," $85,536 "," $38,678 ", $- ," $4,853 ", $- , $- ," $1,341 "," $40,664 ","4,745",,,,
LOUISA, 720 ," $5,115 "," $1,787 ", $- , $146 , $- , $- , $53 ," $3,130 ",254,,,,
LUCAS, 687 ," $4,261 "," $1,841 ", $- , $221 , $- , $- , $39 ," $2,161 ",265,,,,
LYON, 628 ," $3,955 "," $2,093 ", $- , $177 , $- , $- , $76 ," $1,609 ",265,,,,
MADISON," 1,187 "," $7,782 "," $3,825 ", $- , $314 , $- , $- , $97 ," $3,546 ",374,,,,
MAHASKA," 1,400 "," $9,228 "," $4,524 ", $- , $481 , $- , $- , $64 ," $4,159 ",472,,,,
MARION," 2,033 "," $20,068 "," $9,664 ", $- , $707 , $- , $- , $97 ," $9,600 ",871,,,,
MARSHALL," 2,974 "," $28,489 "," $13,581 ", $- , $587 , $- , $- , $200 ," $14,121 ","1,294",,,,
MILLS," 1,300 "," $10,540 "," $6,350 ", $- , $561 , $- , $- , $55 ," $3,574 ",371,,,,
MITCHELL, 772 ," $4,030 "," $2,342 ", $- , $114 , $- , $- , $138 ," $1,436 ",354,,,,
MONONA, 892 ," $4,446 "," $2,194 ", $- , $208 , $- , $- , $6 ," $2,038 ",250,,,,
MONROE, 559 ," $5,002 "," $2,584 ", $- , $179 , $- , $- , $11 ," $2,229 ",219,,,,
MONTGOMERY, 891 ," $6,688 "," $3,199 ", $- , $238 , $- , $- , $11 ," $3,239 ",269,,,,
MUSCATINE," 2,484 "," $15,432 "," $6,821 ", $- , $658 , $- , $- , $232 ," $7,722 ",777,,,,
O'BRIEN," 1,136 "," $5,817 "," $2,926 ", $- , $194 , $- , $- , $117 ," $2,581 ",385,,,,
OSCEOLA, 460 ," $2,994 "," $1,113 ", $- , $98 , $- , $- , $4 ," $1,779 ",210,,,,
PAGE," 1,223 "," $8,135 "," $3,774 ", $- , $240 , $- , $- , $41 ," $4,081 ",442,,,,
PALO ALTO, 683 ," $5,032 "," $2,900 ", $- , $131 , $- , $- , $79 ," $1,922 ",321,,,,
PLYMOUTH," 1,887 "," $7,515 "," $3,351 ", $- , $423 , $- , $- , $150 ," $3,592 ",600,,,,
POCAHONTAS, 669 ," $3,260 "," $1,709 ", $- , $83 , $- , $- , $7 ," $1,462 ",302,,,,
POLK," 26,910 "," $240,159 "," $91,578 ", $155 ," $14,358 ", $- ," $11,274 "," $2,452 "," $120,344 ","9,116",,,,
POTTAWATTAMIE," 7,262 "," $57,686 "," $28,979 ", $- ," $2,428 ", $- , $- , $410 ," $25,870 ","2,373",,,,
POWESHIEK," 1,280 "," $7,370 "," $2,941 ", $- , $188 , $- , $- , $179 ," $4,062 ",388,,,,
RINGGOLD, 376 ," $2,747 "," $1,255 ", $- , $24 , $- , $- , $15 ," $1,454 ",150,,,,
SAC, 866 ," $4,834 "," $2,762 ", $- , $42 , $- , $- , $261 ," $1,769 ",345,,,,
SCOTT," 12,651 "," $72,735 "," $36,022 ", $- ," $7,613 ", $- , $- , $941 ," $28,158 ","3,507",,,,
SHELBY," 1,004 "," $5,967 "," $3,041 ", $- , $94 , $- , $- , $92 ," $2,740 ",346,,,,
SIOUX," 1,536 "," $7,795 "," $3,811 ", $- , $236 , $- , $- , $217 ," $3,529 ",630,,,,
STORY," 4,216 "," $21,854 "," $10,421 ", $- ," $3,782 ", $- , $- , $499 ," $7,152 ","1,015",,,,
TAMA," 1,286 "," $7,281 "," $3,356 ", $- , $241 , $- , $- , $86 ," $3,599 ",440,,,,
TAYLOR, 463 ," $3,312 "," $1,527 ", $- , $103 , $- , $- , $59 ," $1,624 ",164,,,,
UNION, 920 ," $6,678 "," $2,942 ", $- , $237 , $- , $- , $85 ," $3,414 ",358,,,,
VAN BUREN, 624 ," $4,519 "," $1,485 ", $- , $95 , $- , $- , $14 ," $2,925 ",205,,,,
WAPELLO," 2,593 "," $18,346 "," $7,395 ", $- , $796 , $- , $- , $68 ," $10,087 ",925,,,,
WARREN," 3,516 "," $25,871 "," $11,902 ", $- ," $1,388 ", $- , $- , $136 ," $12,446 ","1,221",,,,
WASHINGTON," 1,521 "," $11,653 "," $4,719 ", $- , $313 , $- , $- , $149 ," $6,472 ",523,,,,
WAYNE, 535 ," $2,823 "," $1,364 ", $- , $77 , $- , $- , $54 ," $1,327 ",143,,,,
WEBSTER," 2,798 "," $17,380 "," $7,760 ", $- , $491 , $- , $- , $261 ," $8,868 ","1,294",,,,
