ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,ID,ADA,"33,755","$277,407 ","$122,592 ","$2,731 ","$19,777 ", $- ,"$10,165 ","$2,499 ","$119,643 ","11,941"
16,ID,ADAMS,415,"$3,929 ","$1,710 ", $- ,$12 , $- , $- ,$3 ,"$2,205 ",251
16,ID,BANNOCK,"5,650","$41,393 ","$21,875 ", $- ,"$3,036 ", $- , $- ,$517 ,"$15,965 ","1,989"
16,ID,BEAR LAKE,430,"$2,030 ","$1,137 ", $- ,$42 , $- , $- ,$64 ,$787 ,125
16,ID,BENEWAH,950,"$6,191 ","$3,641 ", $- ,$112 , $- , $- ,$75 ,"$2,363 ",362
16,ID,BINGHAM,"2,400","$15,339 ","$8,666 ", $- ,$802 , $- , $- ,$187 ,"$5,684 ",810
16,ID,BLAINE,"1,108","$3,397 ","$1,922 ", $- ,$100 , $- , $- ,$101 ,"$1,274 ",208
16,ID,BOISE,917,"$7,052 ","$3,156 ", $- ,$200 , $- , $- ,$37 ,"$3,659 ",449
16,ID,BONNER,"4,245","$32,052 ","$17,244 ", $- ,$854 , $- , $- ,$205 ,"$13,749 ","1,834"
16,ID,BONNEVILLE,"6,985","$34,983 ","$20,206 ", $- ,"$2,561 ", $- , $- ,$435 ,"$11,781 ","1,823"
16,ID,BOUNDARY,"1,157","$8,490 ","$5,148 ", $- ,$175 , $- , $- ,$319 ,"$2,847 ",441
16,ID,BUTTE,242,"$1,107 ",$590 , $- ,$61 , $- , $- ,$3 ,$454 ,82
16,ID,CAMAS,106,$472 ,$244 , $- ,$14 , $- , $- ,$19 ,$196 ,26
16,ID,CANYON,"14,064","$114,413 ","$50,725 ", $- ,"$6,807 ", $- , $- ,$600 ,"$56,282 ","5,565"
16,ID,CARIBOU,401,"$2,509 ","$1,556 ", $- ,$86 , $- , $- ,$46 ,$821 ,120
16,ID,CASSIA,"1,061","$6,754 ","$3,751 ", $- ,$223 , $- , $- ,$175 ,"$2,605 ",360
16,ID,CLARK,29,$218 ,$87 , $- , $- , $- , $- , $- ,$132 ,15
16,ID,CLEARWATER,"1,061","$7,926 ","$4,436 ", $- ,$105 , $- , $- ,$7 ,"$3,379 ",484
