ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,IL,ADAMS,"5,032","$33,382 ","$20,139 ",$2 ,"$1,797 ", $- , $- ,$353 ,"$11,091 ","1,712"
16,IL,ALEXANDER,540,"$7,076 ","$2,945 ", $- ,$152 , $- , $- ,$6 ,"$3,973 ",259
16,IL,BOND,"1,294","$7,196 ","$4,066 ", $- ,$393 , $- , $- ,$85 ,"$2,653 ",269
16,IL,BOONE,"2,896","$14,078 ","$7,317 ", $- ,$957 , $- , $- ,$123 ,"$5,682 ",837
16,IL,BROWN,368,"$1,661 ",$941 , $- ,$90 , $- , $- ,$0 ,$629 ,99
16,IL,BUREAU,"2,540","$14,048 ","$6,317 ", $- ,$436 , $- , $- ,$342 ,"$6,952 ",832
16,IL,CALHOUN,385,"$2,140 ","$1,164 ", $- ,$41 , $- , $- ,$56 ,$879 ,97
16,IL,CARROLL,"1,412","$7,827 ","$3,186 ", $- ,$315 , $- , $- ,$100 ,"$4,225 ",465
16,IL,CASS,955,"$5,348 ","$3,051 ", $- ,$282 , $- , $- ,$59 ,"$1,956 ",222
16,IL,CHAMPAIGN,"10,005","$56,603 ","$27,101 ", $- ,"$5,666 ", $- , $- ,"$1,193 ","$22,642 ","2,201"
16,IL,CHRISTIAN,"2,701","$13,247 ","$8,596 ", $- ,$676 , $- , $- ,$143 ,"$3,832 ",654
16,IL,CLARK,"1,295","$8,176 ","$3,918 ", $- ,$333 , $- , $- ,$121 ,"$3,804 ",397
16,IL,CLAY,852,"$7,069 ","$3,029 ", $- ,$315 , $- , $- ,$22 ,"$3,703 ",406
16,IL,CLINTON,"3,055","$18,148 ","$11,287 ", $- ,"$1,513 ", $- , $- ,$132 ,"$5,215 ",654
16,IL,COLES,"3,235","$23,693 ","$11,389 ", $- ,"$1,248 ", $- , $- ,$312 ,"$10,745 ","1,085"
16,IL,COOK,"182,804","$1,485,241 ","$480,926 ","$2,498 ","$118,586 ", $- ,"$38,400 ","$19,774 ","$825,057 ","54,256"
16,IL,CRAWFORD,"1,435","$12,370 ","$6,347 ", $- ,$251 , $- , $- ,$88 ,"$5,683 ",477
