ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,IN,ADAMS,"1,587","$8,236 ","$3,838 ", $- ,$372 , $- , $- ,$141 ,"$3,885 ",470
16,IN,ALLEN,"21,561","$157,244 ","$67,940 ", $- ,"$8,890 ", $- ,$960 ,"$1,354 ","$78,099 ","7,377"
16,IN,BARTHOLOMEW,"4,593","$28,294 ","$14,791 ", $- ,"$1,711 ", $- , $- ,$430 ,"$11,361 ","1,259"
16,IN,BENTON,590,"$3,295 ","$1,380 ", $- ,$135 , $- , $- ,$13 ,"$1,767 ",184
16,IN,BLACKFORD,"1,038","$7,554 ","$4,142 ", $- ,$217 , $- , $- ,$0 ,"$3,195 ",400
16,IN,BOONE,"3,184","$18,127 ","$8,913 ", $- ,"$1,135 ", $- , $- ,$245 ,"$7,834 ",778
16,IN,BROWN,"1,378","$7,392 ","$2,760 ", $- ,$262 , $- , $- ,$38 ,"$4,333 ",489
16,IN,CARROLL,"1,527","$6,656 ","$2,965 ", $- ,$225 , $- , $- ,$27 ,"$3,439 ",410
16,IN,CASS,"2,805","$16,981 ","$9,442 ", $- ,$514 , $- , $- ,$34 ,"$6,991 ",886
16,IN,CLARK,"8,790","$64,098 ","$28,211 ", $- ,"$3,523 ", $- , $- ,$336 ,"$32,028 ","2,986"
16,IN,CLAY,"1,986","$13,198 ","$6,836 ", $- ,$924 , $- , $- ,$78 ,"$5,360 ",647
16,IN,CLINTON,"2,042","$10,385 ","$5,057 ", $- ,$487 , $- , $- ,$63 ,"$4,779 ",424
16,IN,CRAWFORD,791,"$6,666 ","$3,031 ", $- ,$258 , $- , $- ,$37 ,"$3,340 ",307
16,IN,DAVIESS,"1,973","$11,654 ","$6,381 ", $- ,$391 , $- , $- ,$239 ,"$4,643 ",553
16,IN,DEARBORN,"3,686","$22,992 ","$10,338 ", $- ,$878 , $- , $- ,$231 ,"$11,544 ","1,353"
16,IN,DECATUR,"1,587","$9,346 ","$4,463 ", $- ,$332 , $- , $- ,$18 ,"$4,532 ",501
16,IN,DE KALB,"2,854","$19,930 ","$10,400 ", $- ,$439 , $- , $- ,$118 ,"$8,972 ",960
16,IN,DELAWARE,"7,055","$52,193 ","$25,956 ", $- ,"$2,871 ", $- , $- ,$504 ,"$22,862 ","2,526"
16,IN,DUBOIS,"2,481","$11,739 ","$6,607 ", $- ,$834 , $- , $- ,$45 ,"$4,253 ",757
16,IN,ELKHART,"9,672","$50,589 ","$26,919 ", $- ,"$2,468 ", $- , $- ,$215 ,"$20,986 ","3,319"
16,IN,FAYETTE,"1,787","$12,480 ","$5,875 ", $- ,$300 , $- , $- ,$23 ,"$6,282 ",631
16,IN,FLOYD,"5,542","$38,323 ","$17,814 ", $- ,"$2,126 ", $- ,$264 ,$344 ,"$17,774 ","1,818"
