,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
ALLEN," 1,035 "," $5,503 "," $2,702 ", $- , $193 , $- , $- , $51 ," $2,557 ",290,,
ANDERSON, 554 ," $2,884 "," $1,547 ", $- , $243 , $- , $- , $3 ," $1,091 ",171,,
ATCHISON," 1,082 "," $8,426 "," $3,740 ", $- , $390 , $- , $- , $95 ," $4,201 ",325,,
BARBER, 311 ," $1,938 ", $843 , $- , $73 , $- , $- , $29 , $993 ,119,,
BARTON," 1,846 "," $8,644 "," $4,707 ", $- , $318 , $- , $- , $169 ," $3,450 ",600,,
BOURBON, 978 ," $6,334 "," $2,915 ", $516 , $208 , $- , $- , $138 ," $2,557 ",371,,
BROWN, 816 ," $4,779 "," $2,662 ", $- , $183 , $- , $- , $50 ," $1,884 ",215,,
BUTLER," 5,098 "," $31,988 "," $15,493 ", $- ," $2,325 ", $- , $- , $164 ," $14,007 ","1,287",,
CHASE, 241 ," $1,357 ", $554 , $- , $38 , $- , $- , $11 , $755 ,62,,
CHAUTAUQUA, 273 ," $1,899 ", $808 , $- , $29 , $- , $- , $0 ," $1,062 ",97,,
CHEROKEE," 1,456 "," $8,388 "," $4,821 ", $- , $463 , $- , $- , $29 ," $3,074 ",497,,
CHEYENNE, 233 , $730 , $420 , $- , $33 , $- , $- , $67 , $209 ,58,,
CLARK, 152 ," $1,102 ", $450 , $- , $43 , $- , $- , $2 , $607 ,69,,
CLAY," 1,007 "," $8,364 "," $5,602 ", $- , $761 , $- , $- , $30 ," $1,971 ",326,,
CLOUD, 718 ," $3,949 "," $2,265 ", $- , $196 , $- , $- , $42 ," $1,445 ",216,,
COFFEY, 682 ," $4,221 "," $2,043 ", $- , $211 , $- , $- , $34 ," $1,932 ",199,,
COMANCHE, 133 , $544 , $215 , $- , $15 , $- , $- , $- , $313 ,39,,
COWLEY," 2,411 "," $15,868 "," $6,999 ", $- , $954 , $- , $- , $139 ," $7,775 ",766,,
CRAWFORD," 2,273 "," $12,881 "," $7,661 ", $- ," $1,419 ", $- , $- , $147 ," $3,653 ",556,,
DECATUR, 239 ," $1,622 ", $498 , $- , $79 , $- , $- , $2 ," $1,044 ",79,,
DICKINSON," 2,131 "," $20,210 "," $12,208 ", $- ," $2,254 ", $- , $- , $71 ," $5,676 ",733,,
DONIPHAN, 596 ," $3,007 "," $1,497 ", $- , $99 , $- , $- , $2 ," $1,409 ",201,,
DOUGLAS," 5,300 "," $37,695 "," $17,111 ", $- ," $5,407 ", $- , $- , $482 ," $14,696 ","1,529",,
EDWARDS, 202 ," $1,516 ", $586 , $- , $345 , $- , $- , $12 , $573 ,93,,
ELK, 278 ," $2,066 "," $1,155 ", $- , $26 , $- , $- , $5 , $879 ,88,,
ELLIS," 1,514 "," $7,610 "," $3,890 ", $- , $693 , $- , $- , $61 ," $2,967 ",592,,
ELLSWORTH, 426 ," $3,445 "," $1,351 ", $- , $99 , $- , $- , $48 ," $1,948 ",177,,
FINNEY," 1,105 "," $5,365 "," $2,595 ", $- , $429 , $- , $- , $77 ," $2,264 ",287,,
FORD," 1,151 "," $7,254 "," $3,526 ", $- , $695 , $- , $- , $115 ," $2,918 ",466,,
FRANKLIN," 1,697 "," $12,517 "," $6,021 ", $- , $787 , $- , $- , $85 ," $5,625 ",572,,
GEARY," 7,085 "," $71,251 "," $41,237 ", $- ," $13,728 ", $- , $- , $250 ," $16,036 ","2,056",,
GOVE, 164 , $791 , $568 , $- , $36 , $- , $- , $6 , $181 ,61,,
GRAHAM, 182 , $881 , $418 , $- , $30 , $- , $- , $80 , $353 ,70,,
GRANT, 233 , $976 , $464 , $- , $212 , $- , $- , $57 , $243 ,53,,
GRAY, 191 , $866 , $386 , $- , $4 , $- , $- , $0 , $475 ,108,,
GREELEY, 58 , $216 , $136 , $- , $12 , $- , $- , $12 , $55 ,10,,
GREENWOOD, 544 ," $3,471 "," $2,024 ", $- , $87 , $- , $- , $151 ," $1,209 ",166,,
HAMILTON, 112 , $465 , $314 , $- , $- , $- , $- , $2 , $149 ,31,,
HARPER, 365 ," $2,022 ", $815 , $- , $41 , $- , $- , $11 ," $1,155 ",109,,
HARVEY," 1,970 "," $11,898 "," $5,744 ", $- , $846 , $- , $- , $207 ," $5,100 ",518,,
HASKELL, 128 , $663 , $461 , $- , $47 , $- , $- , $0 , $155 ,24,,
HODGEMAN, 163 , $562 , $265 , $- , $4 , $- , $- , $83 , $210 ,38,,
JACKSON," 1,196 "," $7,847 "," $4,509 ", $- , $249 , $- , $- , $36 ," $3,054 ",396,,
JEFFERSON," 1,454 "," $14,089 "," $6,948 ", $- , $444 , $- , $- , $48 ," $6,649 ",523,,
JEWELL, 306 ," $1,532 ", $817 , $- , $112 , $- , $- , $1 , $603 ,94,,
JOHNSON," 30,752 "," $165,482 "," $88,742 ", $- ," $16,391 ", $- , $- ," $3,934 "," $56,415 ","6,804",,
KEARNY, 182 , $571 , $379 , $- , $42 , $- , $- , $5 , $145 ,28,,
KINGMAN, 566 ," $3,390 "," $1,273 ", $- , $133 , $- , $- , $102 ," $1,882 ",169,,
KIOWA, 165 , $595 , $263 , $- , $7 , $- , $- , $17 , $309 ,39,,
LABETTE," 1,381 "," $8,037 "," $3,976 ", $- , $281 , $- , $- , $29 ," $3,750 ",464,,
LANE, 114 , $513 , $262 , $- , $11 , $- , $- , $1 , $240 ,40,,
LEAVENWORTH," 10,243 "," $145,719 "," $60,041 "," $1,244 "," $10,563 ", $- ," $9,170 ", $478 ," $64,223 ","3,782",,
LINCOLN, 268 ," $1,686 ", $789 , $- , $65 , $- , $- , $1 , $831 ,104,,
LINN, 834 ," $6,829 "," $3,701 ", $- , $102 , $- , $- , $6 ," $3,020 ",312,,
LOGAN, 207 , $734 , $436 , $- , $112 , $- , $- , $29 , $157 ,62,,
LYON," 1,884 "," $12,355 "," $6,817 ", $- , $780 , $- , $- , $70 ," $4,688 ",654,,
MCPHERSON," 1,725 "," $9,156 "," $3,887 ", $- , $515 , $- , $- , $30 ," $4,724 ",489,,
MARION, 680 ," $4,287 "," $2,225 ", $- , $214 , $- , $- , $53 ," $1,795 ",214,,
MARSHALL, 800 ," $4,665 "," $2,604 ", $- , $169 , $- , $- , $11 ," $1,881 ",263,,
MEADE, 243 ," $1,079 ", $566 , $- , $27 , $- , $- , $11 , $475 ,75,,
MIAMI," 2,252 "," $12,829 "," $6,704 ", $- , $712 , $- , $- , $84 ," $5,330 ",682,,
MITCHELL, 409 ," $1,748 ", $976 , $- , $87 , $- , $- , $17 , $668 ,148,,
MONTGOMERY," 2,413 "," $14,290 "," $8,102 ", $- , $433 , $- , $- , $109 ," $5,645 ",653,,
MORRIS, 625 ," $5,433 "," $3,132 ", $- , $183 , $- , $- , $14 ," $2,104 ",197,,
MORTON, 135 , $441 , $335 , $- , $1 , $- , $- , $10 , $95 ,31,,
NEMAHA, 601 ," $3,456 "," $1,804 ", $- , $123 , $- , $- , $27 ," $1,503 ",201,,
NEOSHO," 1,109 "," $6,551 "," $3,531 ", $- , $329 , $- , $- , $55 ," $2,636 ",358,,
NESS, 225 , $811 , $453 , $- , $39 , $- , $- , $1 , $317 ,88,,
NORTON, 411 ," $1,589 ", $860 , $- , $56 , $- , $- , $11 , $662 ,126,,
OSAGE," 1,455 "," $12,340 "," $5,895 ", $- , $434 , $- , $- , $56 ," $5,954 ",607,,
OSBORNE, 235 ," $1,274 ", $825 , $- , $62 , $- , $- , $52 , $336 ,78,,
OTTAWA, 457 ," $3,212 "," $1,558 ", $- , $163 , $- , $- , $30 ," $1,461 ",157,,
PAWNEE, 457 ," $3,620 "," $1,556 ", $- , $137 , $- , $- , $42 ," $1,885 ",187,,
PHILLIPS, 350 ," $2,567 "," $1,294 ", $- , $45 , $- , $- , $11 ," $1,216 ",179,,
POTTAWATOMIE," 1,814 "," $12,145 "," $5,902 ", $- ," $1,238 ", $- , $- , $67 ," $4,938 ",575,,
PRATT, 556 ," $2,741 "," $1,227 ", $- , $73 , $- , $- , $16 ," $1,425 ",142,,
RAWLINS, 198 , $547 , $302 , $- , $- , $- , $- , $25 , $220 ,48,,
RENO," 4,274 "," $25,169 "," $12,312 ", $- ," $1,243 ", $- , $- , $191 ," $11,424 ","1,475",,
REPUBLIC, 457 ," $1,781 ", $902 , $- , $59 , $- , $- , $22 , $797 ,125,,
RICE, 642 ," $3,696 "," $1,754 ", $- , $60 , $- , $- , $14 ," $1,869 ",204,,
RILEY," 6,854 "," $52,151 "," $27,827 ", $- ," $14,235 ", $- , $- , $372 ," $9,717 ","1,372",,
ROOKS, 334 ," $2,471 "," $1,284 ", $- , $117 , $- , $- , $58 ," $1,011 ",145,,
RUSH, 274 ," $1,461 ", $616 , $- , $75 , $- , $- , $49 , $722 ,130,,
RUSSELL, 534 ," $3,187 "," $1,810 ", $- , $127 , $- , $- , $25 ," $1,225 ",208,,
