ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,KY,ADAIR,"1,081","$8,582 ","$4,751 ", $- ,$504 , $- , $- ,$10 ,"$3,316 ",388
16,KY,ALLEN,"1,438","$9,640 ","$5,889 ", $- ,$496 , $- , $- ,$41 ,"$3,215 ",391
16,KY,ANDERSON,"1,644","$13,156 ","$6,852 ", $- ,$706 , $- , $- ,$30 ,"$5,567 ",551
16,KY,BALLARD,645,"$4,423 ","$2,352 ", $- ,$138 , $- , $- ,$13 ,"$1,920 ",246
16,KY,BARREN,"2,730","$18,708 ","$11,946 ", $- ,$643 , $- , $- ,$214 ,"$5,906 ",701
16,KY,BATH,544,"$7,691 ","$3,744 ", $- ,$133 , $- , $- ,$10 ,"$3,805 ",339
16,KY,BELL,"1,581","$14,383 ","$9,785 ", $- ,$379 , $- , $- ,$19 ,"$4,200 ",509
16,KY,BOONE,"7,973","$52,577 ","$25,023 ", $- ,"$4,153 ", $- , $- ,$556 ,"$22,846 ","2,366"
16,KY,BOURBON,"1,316","$10,726 ","$4,644 ", $- ,$445 , $- , $- ,$46 ,"$5,591 ",523
16,KY,BOYD,"3,825","$38,034 ","$19,562 ", $- ,"$1,048 ", $- , $- ,$448 ,"$16,975 ","1,397"
16,KY,BOYLE,"1,981","$14,490 ","$8,205 ", $- ,$530 , $- , $- ,$72 ,"$5,682 ",626
16,KY,BRACKEN,560,"$4,213 ","$2,092 ", $- ,$202 , $- , $- ,$21 ,"$1,899 ",210
16,KY,BREATHITT,608,"$7,564 ","$4,527 ", $- ,$54 , $- , $- ,$33 ,"$2,950 ",269
16,KY,BRECKINRIDGE,"1,447","$13,050 ","$7,208 ", $- ,$355 , $- , $- ,$37 ,"$5,451 ",562
16,KY,BULLITT,"6,401","$33,268 ","$15,890 ", $- ,"$2,026 ", $- , $- ,$120 ,"$15,233 ","1,661"
16,KY,BUTLER,827,"$6,687 ","$4,187 ", $- ,$207 , $- , $- ,$23 ,"$2,270 ",275
16,KY,CALDWELL,"1,053","$7,632 ","$4,692 ", $- ,$324 , $- , $- ,$25 ,"$2,590 ",317
16,KY,CALLOWAY,"2,342","$20,025 ","$11,299 ", $- ,"$1,729 ", $- , $- ,$163 ,"$6,835 ",781
16,KY,CAMPBELL,"5,551","$43,329 ","$16,176 ", $- ,"$2,664 ", $- , $- ,$266 ,"$24,224 ","1,944"
16,KY,CARLISLE,372,"$2,752 ","$1,501 ", $- ,$26 , $- , $- ,$10 ,"$1,215 ",123
