,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ANDROSCOGGIN," 9,941 "," $76,857 "," $44,750 ", $- ," $3,092 ", $- , $- , $798 ," $28,216 ","3,507",,,,
AROOSTOOK," 6,770 "," $66,171 "," $42,257 ", $- ," $1,659 ", $- , $- , $301 ," $21,953 ","3,118",,,,
CUMBERLAND," 20,032 "," $137,236 "," $81,041 ", $- ," $9,837 ", $- , $- ," $2,207 "," $44,151 ","5,906",,,,
FRANKLIN," 2,731 "," $24,343 "," $12,822 ", $- , $953 , $- , $- , $225 ," $10,343 ","1,127",,,,
HANCOCK," 4,969 "," $35,352 "," $20,213 ", $- ," $1,317 ", $- , $- ," $1,015 "," $12,807 ","1,481",,,,
KENNEBEC," 10,795 "," $170,032 "," $74,390 ", $- ," $4,701 ", $- ," $18,482 "," $1,327 "," $71,133 ","5,160",,,,
KNOX," 3,530 "," $29,239 "," $14,791 ", $- , $649 , $- , $- , $212 ," $13,586 ","1,267",,,,
LINCOLN," 3,326 "," $31,491 "," $16,719 ", $- , $549 , $- , $- , $545 ," $13,678 ","1,322",,,,
OXFORD," 5,541 "," $43,728 "," $22,718 ", $- ," $1,097 ", $- , $- , $277 ," $19,636 ","1,931",,,,
PENOBSCOT," 13,231 "," $118,928 "," $71,475 ", $- ," $7,998 ", $- , $- , $747 ," $38,707 ","4,923",,,,
PISCATAQUIS," 1,965 "," $19,118 "," $11,138 ", $- , $398 , $- , $- , $105 ," $7,476 ",826,,,,
SAGADAHOC," 4,107 "," $31,267 "," $19,620 ", $- ," $1,615 ", $- , $- , $174 ," $9,858 ","1,180",,,,
SOMERSET," 4,866 "," $53,342 "," $28,419 ", $- , $984 , $- , $- , $288 ," $23,651 ","1,996",,,,
WALDO," 3,500 "," $33,303 "," $18,105 ", $- ," $1,145 ", $- , $- , $222 ," $13,831 ","1,295",,,,
WASHINGTON," 3,386 "," $36,544 "," $22,474 ", $- , $801 , $- , $- , $206 ," $13,064 ","1,426",,,,
YORK," 18,094 "," $112,957 "," $69,007 ", $- ," $9,742 ", $- , $- ," $1,346 "," $32,862 ","4,811",,,,
,,,,,,,,,,,,,,
MAINE (Totals),"116,782 "," $1,019,908 "," $569,940 ", $- ," $46,537 ", $- ," $18,482 "," $9,996 "," $374,953 ","41,276 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 55,692 "," $463,464 "," $251,004 ", $- ," $25,529 ", $- ," $18,482 "," $5,370 "," $163,079 ","17,770",,,,
CONG. DIST (02)," 61,090 "," $556,444 "," $318,936 ", $- ," $21,009 ", $- , $- ," $4,625 "," $211,874 ","23,506",,,,
,,,,,,,,,,,,,,
MAINE (Totals),"116,782 "," $1,019,908 "," $569,940 ", $- ," $46,537 ", $- ," $18,482 "," $9,996 "," $374,953 ","41,276 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
