,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
AITKIN," 1,874 "," $16,258 "," $8,411 ", $- , $259 , $- , $- , $53 ," $7,534 ",912,,
ANOKA," 22,462 "," $154,458 "," $72,221 ", $- ," $9,469 ", $- , $- ," $1,948 "," $70,819 ","7,301",,
BECKER," 3,058 "," $21,976 "," $11,233 ", $- , $424 , $- , $- , $116 ," $10,203 ","1,204",,
BELTRAMI," 3,111 "," $29,936 "," $16,757 ", $- ," $1,178 ", $- , $- , $242 ," $11,760 ","1,367",,
BENTON," 3,012 "," $30,893 "," $11,098 ", $- , $692 , $- , $- , $160 ," $18,944 ","1,534",,
BIG STONE, 448 ," $3,556 "," $2,279 ", $- , $97 , $- , $- , $130 ," $1,050 ",227,,
BLUE EARTH," 3,740 "," $29,313 "," $14,600 ", $- ," $2,381 ", $- , $- , $541 ," $11,791 ","1,348",,
BROWN," 1,893 "," $15,630 "," $8,764 ", $- , $566 , $- , $- , $389 ," $5,911 ",838,,
CARLTON," 2,882 "," $24,671 "," $15,286 ", $- ," $1,126 ", $- , $- , $113 ," $8,145 ","1,028",,
CARVER," 4,685 "," $24,736 "," $12,303 ", $- ," $1,572 ", $- , $- , $343 ," $10,517 ","1,236",,
CASS," 3,023 "," $28,742 "," $15,270 ", $- , $464 , $- , $- , $155 ," $12,854 ","1,566",,
CHIPPEWA, 822 ," $6,937 "," $2,983 ", $- , $144 , $- , $- , $17 ," $3,793 ",466,,
CHISAGO," 3,995 "," $33,356 "," $17,066 ", $- ," $1,871 ", $- , $- , $371 ," $14,048 ","1,287",,
CLAY," 3,858 "," $37,348 "," $15,578 ", $- ," $2,021 ", $- , $- , $667 ," $19,081 ","1,681",,
CLEARWATER, 875 ," $8,232 "," $3,717 ", $- , $147 , $- , $- , $24 ," $4,345 ",414,,
COOK, 458 ," $3,168 "," $1,886 ", $- , $41 , $- , $- , $12 ," $1,229 ",123,,
COTTONWOOD, 817 ," $5,334 "," $3,007 ", $- , $38 , $- , $- , $87 ," $2,202 ",333,,
CROW WING," 5,861 "," $57,135 "," $31,301 ", $- ," $1,572 ", $- , $- , $437 ," $23,825 ","2,934",,
DAKOTA," 25,689 "," $190,506 "," $88,389 ", $- ," $14,683 ", $- , $- ," $2,917 "," $84,517 ","7,402",,
DODGE," 1,349 "," $6,872 "," $3,633 ", $- , $437 , $- , $- , $76 ," $2,727 ",386,,
DOUGLAS," 3,095 "," $27,505 "," $14,144 ", $- , $637 , $- , $- , $380 ," $12,344 ","1,506",,
FARIBAULT," 1,183 "," $8,245 "," $4,159 ", $- , $283 , $- , $- , $40 ," $3,764 ",412,,
FILLMORE," 1,483 "," $8,951 "," $5,234 ", $- , $392 , $- , $- , $60 ," $3,265 ",475,,
FREEBORN," 2,541 "," $18,419 "," $8,269 ", $- , $280 , $- , $- , $117 ," $9,754 ","1,132",,
GOODHUE," 3,738 "," $21,892 "," $11,106 ", $- ," $1,438 ", $- , $- , $252 ," $9,096 ","1,039",,
GRANT, 508 ," $4,566 "," $2,650 ", $- , $66 , $- , $- , $22 ," $1,828 ",210,,
