Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,MO,ADAIR,"1,524","$11,335 ","$5,500 ", $- ,$508 , $- , $- ,$38 ,"$5,291 ",586
16,MO,ANDREW,"1,184","$6,448 ","$3,153 ", $- ,$288 , $- , $- ,$106 ,"$2,901 ",405
16,MO,ATCHISON,465,"$2,742 ","$1,303 ", $- ,$73 , $- , $- ,$28 ,"$1,338 ",134
16,MO,AUDRAIN,"1,777","$16,149 ","$7,400 ", $- ,$420 , $- , $- ,$93 ,"$8,236 ",907
16,MO,BARRY,"3,031","$21,295 ","$12,005 ", $- ,$571 , $- , $- ,$106 ,"$8,612 ","1,199"
16,MO,BARTON,899,"$5,644 ","$2,926 ", $- ,$278 , $- , $- ,$107 ,"$2,332 ",310
16,MO,BATES,"1,203","$11,013 ","$5,577 ", $- ,$287 , $- , $- ,$62 ,"$5,086 ",431
16,MO,BENTON,"2,258","$25,474 ","$13,929 ", $- ,$296 , $- , $- ,$61 ,"$11,189 ","1,101"
16,MO,BOLLINGER,822,"$6,721 ","$4,525 ", $- ,$170 , $- , $- ,$17 ,"$2,010 ",280
16,MO,BOONE,"10,062","$118,740 ","$42,154 ","$11,520 ","$9,272 ", $- ,"$2,119 ",$963 ,"$52,712 ","3,778"
16,MO,BUCHANAN,"6,867","$39,974 ","$22,465 ", $- ,"$1,790 ", $- , $- ,$421 ,"$15,298 ","2,086"
16,MO,BUTLER,"3,778","$58,651 ","$23,690 ", $- ,"$1,347 ", $- ,$962 ,$142 ,"$32,510 ","2,205"
16,MO,CALDWELL,811,"$6,002 ","$3,292 ", $- ,$177 , $- , $- ,$53 ,"$2,480 ",311
16,MO,CALLAWAY,"3,527","$35,593 ","$16,315 ", $- ,"$1,268 ", $- , $- ,$162 ,"$17,847 ","1,508"
16,MO,CAMDEN,"4,509","$35,832 ","$19,583 ", $- ,$810 , $- , $- ,$405 ,"$15,034 ","1,729"
