,,,,,,,,,,,,
,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,
BEAVERHEAD, 770 ," $5,507 "," $3,007 ", $- , $337 , $- , $- , $35 ," $2,128 ",284,,
BIG HORN, 624 ," $5,632 "," $2,398 ", $- , $204 , $- , $- , $0 ," $3,029 ",257,,
BLAINE, 453 ," $5,576 "," $2,532 ", $- , $166 , $- , $- , $14 ," $2,865 ",238,,
BROADWATER, 648 ," $7,746 "," $3,002 ", $- , $144 , $- , $- , $15 ," $4,586 ",425,,
CARBON," 1,027 "," $6,905 "," $3,033 ", $- , $196 , $- , $- , $18 ," $3,658 ",370,,
CARTER, 100 , $728 , $290 , $- , $9 , $- , $- , $2 , $428 ,45,,
CASCADE," 11,156 "," $87,659 "," $49,278 ", $- ," $6,851 ", $- , $- , $760 ," $30,769 ","3,512",,
CHOUTEAU, 408 ," $3,692 "," $1,588 ", $- , $97 , $- , $- , $16 ," $1,990 ",185,,
CUSTER," 1,069 "," $14,410 "," $4,099 ", $- , $153 , $- , $- , $59 ," $10,098 ",452,,
DANIELS, 156 ," $1,073 ", $473 , $- , $24 , $- , $- , $- , $576 ,57,,
DAWSON, 710 ," $4,637 "," $1,927 ", $- , $151 , $- , $- , $85 ," $2,474 ",265,,
DEER LODGE, 923 ," $8,869 "," $3,341 ", $- , $204 , $- , $- , $4 ," $5,319 ",440,,
FALLON, 165 ," $1,123 ", $380 , $- , $2 , $- , $- , $20 , $720 ,47,,
FERGUS," 1,012 "," $9,098 "," $4,080 ", $- , $86 , $- , $- , $83 ," $4,849 ",481,,
FLATHEAD," 8,755 "," $60,209 "," $31,826 ", $- ," $2,892 ", $- , $- , $319 ," $25,171 ","3,623",,
GALLATIN," 6,003 "," $42,125 "," $19,193 ", $- ," $6,417 ", $- , $- , $552 ," $15,964 ","2,000",,
GARFIELD, 71 , $330 , $118 , $- , $5 , $- , $- , $0 , $207 ,38,,
GLACIER, 702 ," $7,567 "," $3,774 ", $- , $135 , $- , $- , $19 ," $3,639 ",354,,
