,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ATLANTIC," 15,558 "," $80,877 "," $46,734 ", $- ," $8,008 ", $- , $- ," $1,450 "," $24,686 ","3,241",,,,
BERGEN," 29,500 "," $156,308 "," $74,256 ", $- ," $21,043 ", $- , $- ," $6,004 "," $55,006 ","6,452",,,,
BURLINGTON," 32,631 "," $229,798 "," $145,578 ", $24 ," $30,522 ", $- ," $4,358 "," $3,421 "," $45,894 ","6,207",,,,
CAMDEN," 27,505 "," $169,382 "," $99,875 ", $- ," $14,491 ", $- , $- ," $2,626 "," $52,390 ","5,637",,,,
CAPE MAY," 8,195 "," $37,820 "," $25,042 ", $- ," $1,979 ", $- , $- , $619 ," $10,180 ","1,617",,,,
CUMBERLAND," 7,624 "," $39,897 "," $23,342 ", $- ," $3,543 ", $- , $- , $317 ," $12,694 ","1,626",,,,
ESSEX," 23,251 "," $247,340 "," $72,743 "," $5,853 "," $19,206 ", $- ," $14,758 "," $2,828 "," $131,952 ","6,401",,,,
GLOUCESTER," 16,835 "," $99,257 "," $60,086 ", $- ," $7,933 ", $- , $- ," $1,115 "," $30,123 ","3,840",,,,
HUDSON," 14,567 "," $92,555 "," $37,392 ", $- ," $18,728 ", $- , $- , $886 ," $35,549 ","3,248",,,,
HUNTERDON," 6,052 "," $31,458 "," $14,819 ", $- ," $1,531 ", $- , $- ," $1,027 "," $14,082 ",925,,,,
MERCER," 13,576 "," $70,783 "," $39,635 ", $- ," $7,334 ", $- , $- ," $1,531 "," $22,282 ","2,147",,,,
MIDDLESEX," 27,266 "," $142,966 "," $68,370 ", $- ," $18,919 ", $- , $- ," $3,554 "," $52,123 ","5,195",,,,
MONMOUTH," 27,102 "," $147,566 "," $83,387 ", $- ," $14,520 ", $- , $- ," $4,566 "," $45,093 ","5,089",,,,
MORRIS," 20,206 "," $83,367 "," $39,062 ", $- ," $8,704 ", $- , $- ," $3,724 "," $31,876 ","3,234",,,,
OCEAN," 41,058 "," $215,352 "," $129,941 ", $- ," $15,359 ", $- , $- ," $4,029 "," $66,024 ","9,719",,,,
PASSAIC," 14,904 "," $82,408 "," $37,465 ", $- ," $10,859 ", $- , $- ," $1,209 "," $32,876 ","2,978",,,,
SALEM," 4,371 "," $24,534 "," $13,832 ", $- ," $1,628 ", $- , $- , $320 ," $8,755 ",907,,,,
SOMERSET," 10,684 "," $97,126 "," $28,302 ", $- ," $6,260 ", $- , $992 ," $1,702 "," $59,869 ","2,424",,,,
SUSSEX," 8,199 "," $43,606 "," $21,337 ", $- ," $4,855 ", $- , $- , $582 ," $16,832 ","1,540",,,,
UNION," 16,253 "," $116,032 "," $48,571 ", $- ," $14,074 ", $- , $- ," $2,791 "," $50,596 ","3,742",,,,
WARREN," 6,182 "," $32,069 "," $17,051 ", $- ," $2,664 ", $- , $- , $842 ," $11,513 ","1,075",,,,
,,,,,,,,,,,,,,
NEW JERSEY (Totals),"371,518 "," $2,240,502 "," $1,126,820 "," $5,877 "," $232,159 ", $- ," $20,109 "," $45,143 "," $810,395 ","77,244 ",,,,
,,,,,,,,,,,,,,
CONG. DIST (01)," 40,076 "," $252,670 "," $149,194 ", $- ," $21,777 ", $- , $- ," $3,581 "," $78,119 ","8,702",,,,
CONG. DIST (02)," 45,577 "," $239,348 "," $146,889 ", $24 ," $19,992 ", $- , $- ," $3,629 "," $68,814 ","9,271",,,,
CONG. DIST (03)," 55,017 "," $332,569 "," $205,828 ", $- ," $36,627 ", $- ," $3,627 "," $5,377 "," $81,112 ","11,303",,,,
CONG. DIST (04)," 36,009 "," $184,725 "," $107,289 ", $- ," $16,465 ", $- , $732 ," $4,685 "," $55,555 ","7,532",,,,
CONG. DIST (05)," 30,222 "," $146,426 "," $70,015 ", $- ," $17,755 ", $- , $- ," $4,429 "," $54,227 ","5,960",,,,
CONG. DIST (06)," 24,378 "," $143,434 "," $70,812 ", $- ," $16,591 ", $- , $- ," $3,764 "," $52,266 ","4,812",,,,
CONG. DIST (07)," 28,263 "," $177,274 "," $70,345 ", $- ," $14,744 ", $- , $- ," $4,498 "," $87,686 ","5,055",,,,
CONG. DIST (08)," 13,668 "," $120,106 "," $53,423 ", $3 ," $20,786 ", $- , $- ," $1,896 "," $43,998 ","3,519",,,,
CONG. DIST (09)," 19,063 "," $123,048 "," $55,980 ", $- ," $16,412 ", $- , $- ," $3,313 "," $47,342 ","4,517",,,,
CONG. DIST (10)," 22,624 "," $243,751 "," $62,623 "," $5,850 "," $18,947 ", $- ," $15,750 "," $2,562 "," $138,019 ","6,721",,,,
CONG. DIST (11)," 30,536 "," $129,012 "," $63,791 ", $- ," $15,630 ", $- , $- ," $4,007 "," $45,584 ","4,814",,,,
CONG. DIST (12)," 26,086 "," $148,140 "," $70,630 ", $- ," $16,434 ", $- , $- ," $3,402 "," $57,674 ","5,038",,,,
,,,,,,,,,,,,,,
NEW JERSEY (Totals),"371,518 "," $2,240,502 "," $1,126,820 "," $5,877 "," $232,159 ", $- ," $20,109 "," $45,143 "," $810,395 ","77,244 ",,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
