ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,OH,ADAMS,"1,886","$18,060 ","$9,363 ", $- ,$383 , $- , $- ,$53 ,"$8,260 ",732
16,OH,ALLEN,"7,218","$41,135 ","$24,081 ", $- ,"$2,820 ", $- , $- ,$387 ,"$13,847 ","1,920"
16,OH,ASHLAND,"4,036","$26,853 ","$12,219 ", $- ,"$1,402 ", $- , $- ,$470 ,"$12,762 ","1,372"
16,OH,ASHTABULA,"8,437","$57,195 ","$28,017 ", $- ,"$2,266 ", $- , $- ,$337 ,"$26,575 ","3,078"
16,OH,ATHENS,"3,357","$34,756 ","$17,917 ", $- ,"$3,069 ", $- , $- ,$343 ,"$13,427 ","1,288"
16,OH,AUGLAIZE,"3,255","$14,248 ","$8,213 ", $- ,$717 , $- , $- ,$213 ,"$5,105 ",840
16,OH,BELMONT,"5,377","$28,885 ","$16,478 ", $- ,$878 , $- , $- ,$224 ,"$11,304 ","1,720"
16,OH,BROWN,"3,500","$24,765 ","$11,072 ", $- ,$849 , $- , $- ,$196 ,"$12,648 ","1,386"
16,OH,BUTLER,"23,946","$142,502 ","$67,345 ", $- ,"$8,502 ", $- , $- ,"$1,397 ","$65,259 ","6,112"
16,OH,CARROLL,"2,418","$12,229 ","$4,791 ", $- ,$400 , $- , $- ,$108 ,"$6,929 ",791
16,OH,CHAMPAIGN,"3,141","$15,794 ","$7,954 ", $- ,$769 , $- , $- ,$86 ,"$6,985 ",673
16,OH,CLARK,"13,514","$77,629 ","$39,750 ", $- ,"$3,628 ", $- , $- ,$420 ,"$33,831 ","3,091"
16,OH,CLERMONT,"14,833","$89,348 ","$40,696 ", $- ,"$4,711 ", $- , $- ,"$1,069 ","$42,872 ","4,351"
16,OH,CLINTON,"3,245","$24,998 ","$12,909 ", $- ,"$1,188 ", $- , $- ,$158 ,"$10,742 ",931
16,OH,COLUMBIANA,"8,957","$55,241 ","$28,801 ", $- ,"$2,782 ", $- , $- ,$474 ,"$23,184 ","3,119"
16,OH,COSHOCTON,"2,759","$16,068 ","$8,200 ", $- ,$600 , $- , $- ,$121 ,"$7,146 ",997
16,OH,CRAWFORD,"3,607","$20,326 ","$10,260 ", $- ,$662 , $- , $- ,$278 ,"$9,126 ","1,126"
16,OH,CUYAHOGA,"72,820","$3,463,304 ","$238,259 ",$198 ,"$29,196 ", $- ,"$2,788,348 ","$7,209 ","$400,094 ","24,094"
16,OH,DARKE,"3,797","$20,820 ","$9,824 ", $- ,$554 , $- , $- ,$238 ,"$10,204 ",939
16,OH,DEFIANCE,"2,722","$16,802 ","$10,139 ", $- ,$765 , $- , $- ,$496 ,"$5,401 ",870
16,OH,DELAWARE,"10,037","$41,631 ","$22,533 ", $- ,"$4,356 ", $- , $- ,$887 ,"$13,856 ","1,980"
16,OH,ERIE,"6,356","$44,906 ","$23,954 ", $- ,"$1,339 ", $- , $- ,$340 ,"$19,272 ","2,276"
16,OH,FAIRFIELD,"11,193","$67,778 ","$33,171 ", $- ,"$4,367 ", $- , $- ,$637 ,"$29,604 ","3,525"
16,OH,FAYETTE,"2,156","$16,712 ","$6,497 ", $- ,$609 , $- , $- ,$135 ,"$9,471 ",665
16,OH,FRANKLIN,"70,153","$427,294 ","$195,226 ","$4,784 ","$42,847 ", $- ,$974 ,"$5,236 ","$178,228 ","19,325"
16,OH,FULTON,"2,796","$16,056 ","$8,110 ", $- ,"$1,027 ", $- , $- ,$305 ,"$6,614 ",813
16,OH,GALLIA,"2,278","$20,832 ","$10,308 ", $- ,$612 , $- , $- ,$39 ,"$9,873 ",824
16,OH,GEAUGA,"5,270","$28,671 ","$13,739 ", $- ,"$1,130 ", $- , $- ,$652 ,"$13,150 ","1,469"
16,OH,GREENE,"16,976","$125,353 ","$73,832 ", $- ,"$16,670 ", $- , $- ,$933 ,"$33,918 ","3,525"
16,OH,GUERNSEY,"3,164","$24,958 ","$12,997 ", $- ,$930 , $- , $- ,$78 ,"$10,952 ","1,363"
16,OH,HAMILTON,"45,934","$358,492 ","$126,860 ","$11,552 ","$20,775 ", $- ,"$2,063 ","$4,348 ","$192,895 ","13,390"
16,OH,HANCOCK,"5,466","$20,928 ","$10,812 ", $- ,"$1,519 ", $- , $- ,$271 ,"$8,326 ","1,236"
16,OH,HARDIN,"2,081","$11,039 ","$6,574 ", $- ,$648 , $- , $- ,$162 ,"$3,654 ",551
16,OH,HARRISON,"1,354","$7,976 ","$4,043 ", $- ,$349 , $- , $- ,$5 ,"$3,580 ",442
16,OH,HENRY,"2,098","$7,225 ","$4,477 ", $- ,$374 , $- , $- ,$55 ,"$2,318 ",474
16,OH,HIGHLAND,"3,374","$30,038 ","$12,505 ", $- ,$887 , $- , $- ,$236 ,"$16,411 ","1,200"
16,OH,HOCKING,"2,287","$16,523 ","$8,416 ", $- ,$676 , $- , $- ,$57 ,"$7,374 ",804
16,OH,HOLMES,"1,469","$15,220 ","$3,690 ", $- ,$175 , $- , $- ,$58 ,"$11,297 ",419
16,OH,HURON,"4,177","$26,416 ","$14,845 ", $- ,"$1,269 ", $- , $- ,$403 ,"$9,898 ","1,296"
16,OH,JACKSON,"2,455","$30,064 ","$12,441 ", $- ,$734 , $- , $- ,$318 ,"$16,571 ","1,032"
16,OH,JEFFERSON,"5,442","$33,399 ","$17,915 ", $- ,$979 , $- , $- ,$599 ,"$13,907 ","1,718"
16,OH,KNOX,"4,450","$22,539 ","$11,506 ", $- ,"$1,625 ", $- , $- ,$251 ,"$9,156 ","1,228"
16,OH,LAKE,"16,660","$105,216 ","$48,344 ", $- ,"$5,506 ", $- , $- ,"$1,307 ","$50,060 ","5,503"
16,OH,LAWRENCE,"4,723","$53,133 ","$23,728 ", $- ,"$1,380 ", $- , $- ,$174 ,"$27,851 ","2,074"
16,OH,LICKING,"13,539","$78,190 ","$40,136 ", $- ,"$4,338 ", $- , $- ,$842 ,"$32,876 ","4,443"
16,OH,LOGAN,"3,485","$18,673 ","$9,795 ", $- ,$967 , $- , $- ,$496 ,"$7,415 ",749
16,OH,LORAIN,"23,381","$126,101 ","$59,200 ", $- ,"$6,728 ", $- , $- ,"$1,359 ","$58,814 ","7,087"
16,OH,LUCAS,"26,664","$132,657 ","$66,153 ", $- ,"$8,196 ", $- , $- ,"$1,817 ","$56,491 ","6,911"
16,OH,MADISON,"2,815","$16,151 ","$8,425 ", $- ,$977 , $- , $- ,$262 ,"$6,487 ",669
16,OH,MAHONING,"17,660","$107,404 ","$53,311 ", $- ,"$5,108 ", $- , $- ,"$1,399 ","$47,586 ","6,016"
16,OH,MARION,"4,937","$26,092 ","$13,467 ", $- ,"$1,243 ", $- , $- ,$162 ,"$11,221 ","1,388"
16,OH,MEDINA,"12,421","$63,484 ","$33,609 ", $- ,"$3,772 ", $- , $- ,"$1,062 ","$25,040 ","2,858"
16,OH,MEIGS,"1,822","$12,981 ","$6,191 ", $- ,$405 , $- , $- ,$50 ,"$6,335 ",668
16,OH,MERCER,"2,586","$14,237 ","$8,481 ", $- ,$497 , $- , $- ,$86 ,"$5,172 ",707
16,OH,MIAMI,"8,570","$48,421 ","$23,491 ", $- ,"$3,241 ", $- , $- ,$449 ,"$21,240 ","1,901"
16,OH,MONROE,"1,244","$6,837 ","$4,229 ", $- ,$213 , $- , $- ,$41 ,"$2,353 ",409
16,OH,MONTGOMERY,"44,379","$376,547 ","$157,046 ","$3,337 ","$21,514 ", $- ,"$3,906 ","$3,694 ","$187,050 ","12,379"
16,OH,MORGAN,"1,204","$8,148 ","$5,289 ", $- ,$242 , $- , $- ,$72 ,"$2,545 ",431
16,OH,MORROW,"2,736","$14,735 ","$6,298 ", $- ,$573 , $- , $- ,$84 ,"$7,780 ",917
16,OH,MUSKINGUM,"6,600","$37,999 ","$21,052 ", $- ,"$1,840 ", $- , $- ,$177 ,"$14,930 ","2,165"
