,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ABBEVILLE," 1,769 "," $16,356 "," $10,135 ", $- , $490 , $- , $- , $121 ," $5,610 ",710,,,,
AIKEN," 13,991 "," $117,396 "," $56,830 ", $- ," $6,351 ", $- , $- , $865 ," $53,350 ","5,033",,,,
ALLENDALE, 531 ," $6,146 "," $3,135 ", $- , $159 , $- , $- , $97 ," $2,755 ",203,,,,
ANDERSON," 15,444 "," $96,202 "," $61,699 ", $- ," $4,212 ", $- , $- , $731 ," $29,559 ","4,527",,,,
BAMBERG," 1,264 "," $10,890 "," $6,483 ", $- , $486 , $- , $- , $147 ," $3,774 ",385,,,,
BARNWELL," 1,333 "," $13,299 "," $7,501 ", $- , $475 , $- , $- , $90 ," $5,232 ",534,,,,
BEAUFORT," 22,735 "," $128,248 "," $79,749 ", $210 ," $14,906 ", $- , $883 ," $1,731 "," $30,770 ","4,726",,,,
BERKELEY," 22,816 "," $204,863 "," $113,974 ", $- ," $23,433 ", $- , $- , $953 ," $66,504 ","7,542",,,,
CALHOUN," 1,049 "," $11,117 "," $4,657 ", $- , $265 , $- , $- , $173 ," $6,021 ",533,,,,
CHARLESTON," 32,530 "," $332,215 "," $141,463 "," $7,007 "," $27,009 ", $- ," $2,002 "," $2,361 "," $152,374 ","10,990",,,,
CHEROKEE," 3,702 "," $28,741 "," $16,846 ", $- ," $1,673 ", $- , $- , $402 ," $9,820 ","1,278",,,,
CHESTER," 2,339 "," $22,754 "," $13,736 ", $- , $933 , $- , $- , $64 ," $8,020 ",916,,,,
CHESTERFIELD," 2,781 "," $25,162 "," $15,499 ", $- , $991 , $- , $- , $146 ," $8,526 ","1,036",,,,
CLARENDON," 2,732 "," $32,210 "," $19,407 ", $- , $849 , $- , $- , $243 ," $11,711 ","1,246",,,,
