,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
AURORA, 216 ," $1,768 ", $984 , $- , $17 , $- , $- , $1 , $767 ,104,,,,
BEADLE," 1,160 "," $6,864 "," $3,262 ", $- , $204 , $- , $- , $90 ," $3,309 ",424,,,,
BENNETT, 181 ," $2,126 "," $1,005 ", $- , $30 , $- , $- , $3 ," $1,088 ",111,,,,
BON HOMME, 503 ," $4,173 "," $1,704 ", $- , $139 , $- , $- , $35 ," $2,295 ",252,,,,
BROOKINGS," 1,913 "," $11,139 "," $4,881 ", $- ," $1,473 ", $- , $- , $228 ," $4,557 ",654,,,,
BROWN," 2,562 "," $16,282 "," $7,932 ", $- , $664 , $- , $- , $271 ," $7,414 ","1,246",,,,
BRULE, 345 ," $1,823 ", $964 , $- , $104 , $- , $- , $12 , $743 ,101,,,,
BUFFALO, 112 ," $1,141 ", $512 , $- , $12 , $- , $- , $- , $618 ,54,,,,
BUTTE, 994 ," $12,971 "," $4,346 ", $- , $215 , $- , $- , $3 ," $8,407 ",570,,,,
CAMPBELL, 101 , $888 , $350 , $- , $27 , $- , $- , $- , $511 ,81,,,,
CHARLES MIX, 628 ," $5,344 "," $2,039 ", $- , $150 , $- , $- , $106 ," $3,049 ",265,,,,
CLARK, 237 ," $1,900 ", $851 , $- , $29 , $- , $- , $11 ," $1,009 ",130,,,,
CLAY, 770 ," $5,941 "," $2,351 ", $- ," $1,136 ", $- , $- , $62 ," $2,391 ",277,,,,
CODINGTON," 2,110 "," $12,568 "," $5,781 ", $- , $624 , $- , $- , $46 ," $6,117 ",881,,,,
CORSON, 238 ," $2,341 "," $1,043 ", $- , $(1), $- , $- , $3 ," $1,297 ",135,,,,
CUSTER," 1,164 "," $16,659 "," $4,564 ", $- , $222 , $- , $- , $39 ," $11,834 ",846,,,,
