,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**,,,,
ANDERSON," 6,557 "," $37,976 "," $25,910 ", $- ," $2,270 ", $- , $- , $491 ," $9,305 ","1,696",,,,
BEDFORD," 3,091 "," $25,235 "," $12,442 ", $- ," $1,265 ", $- , $- , $62 ," $11,466 ","1,070",,,,
BENTON," 1,605 "," $14,500 "," $8,814 ", $- , $382 , $- , $- , $50 ," $5,253 ",489,,,,
BLEDSOE, 952 ," $4,966 "," $2,822 ", $- , $101 , $- , $- , $28 ," $2,015 ",307,,,,
BLOUNT," 11,273 "," $65,820 "," $46,853 ", $- ," $3,748 ", $- , $- , $404 ," $14,815 ","2,710",,,,
BRADLEY," 7,624 "," $42,854 "," $27,829 ", $- ," $2,229 ", $- , $- , $234 ," $12,562 ","1,726",,,,
CAMPBELL," 2,894 "," $33,076 "," $23,860 ", $- , $580 , $- , $- , $133 ," $8,504 ","1,092",,,,
CANNON," 1,076 "," $9,051 "," $4,767 ", $- , $421 , $- , $- , $83 ," $3,781 ",377,,,,
CARROLL," 2,267 "," $16,334 "," $10,934 ", $- , $942 , $- , $- , $96 ," $4,362 ",573,,,,
CARTER," 4,952 "," $66,350 "," $27,940 ", $- , $999 , $- , $- , $157 ," $37,254 ","2,854",,,,
CHEATHAM," 3,087 "," $26,948 "," $14,091 ", $- ," $1,908 ", $- , $- , $201 ," $10,747 ",912,,,,
CHESTER," 1,114 "," $6,631 "," $4,163 ", $- , $356 , $- , $- , $12 ," $2,099 ",274,,,,
CLAIBORNE," 1,909 "," $22,097 "," $15,614 ", $- , $807 , $- , $- , $209 ," $5,467 ",709,,,,
CLAY, 552 ," $5,185 "," $2,140 ", $- , $132 , $- , $- , $10 ," $2,903 ",236,,,,
COCKE," 2,910 "," $30,866 "," $18,369 ", $- , $554 , $- , $- , $96 ," $11,847 ","1,262",,,,
COFFEE," 4,958 "," $37,403 "," $22,094 ", $- ," $1,964 ", $- , $- , $322 ," $13,022 ","1,555",,,,
CROCKETT, 811 ," $6,108 "," $4,043 ", $- , $242 , $- , $- , $76 ," $1,747 ",247,,,,
CUMBERLAND," 6,876 "," $41,292 "," $24,084 ", $- ," $1,058 ", $- , $- , $407 ," $15,743 ","2,122",,,,
DAVIDSON," 33,007 "," $387,052 "," $144,859 ", $316 ," $27,474 ", $- ," $55,824 "," $3,044 "," $155,536 ","9,836",,,,
DECATUR, 956 ," $8,106 "," $4,787 ", $- , $307 , $- , $- , $9 ," $3,004 ",293,,,,
DE KALB," 1,225 "," $7,824 "," $4,009 ", $- , $310 , $- , $- , $61 ," $3,444 ",347,,,,
DICKSON," 4,019 "," $35,500 "," $19,846 ", $- ," $1,872 ", $- , $- , $381 ," $13,402 ","1,053",,,,
DYER," 2,520 "," $17,303 "," $10,824 ", $- , $725 , $- , $- , $72 ," $5,682 ",730,,,,
FAYETTE," 2,762 "," $15,501 "," $7,452 ", $- , $650 , $- , $- , $76 ," $7,323 ",732,,,,
FENTRESS," 1,279 "," $12,933 "," $8,115 ", $- , $259 , $- , $- , $244 ," $4,315 ",532,,,,
FRANKLIN," 3,702 "," $25,949 "," $14,743 ", $- , $928 , $- , $- , $155 ," $10,123 ","1,158",,,,
GIBSON," 3,573 "," $28,162 "," $17,967 ", $- ," $1,345 ", $- , $- , $209 ," $8,641 ",997,,,,
GILES," 2,205 "," $17,133 "," $10,037 ", $- , $604 , $- , $- , $105 ," $6,388 ",622,,,,
GRAINGER," 1,443 "," $12,263 "," $8,258 ", $- , $321 , $- , $- , $50 ," $3,634 ",522,,,,
GREENE," 5,203 "," $51,709 "," $26,203 ", $- ," $1,104 ", $- , $- , $216 ," $24,186 ","2,306",,,,
GRUNDY, 939 ," $7,891 "," $4,775 ", $- , $94 , $- , $- , $30 ," $2,992 ",317,,,,
HAMBLEN," 4,596 "," $40,726 "," $23,631 ", $- ," $1,279 ", $- , $- , $416 ," $15,400 ","1,642",,,,
HAMILTON," 23,854 "," $146,184 "," $91,960 ", $- ," $10,279 ", $- ," $2,408 "," $1,752 "," $39,786 ","6,157",,,,
HANCOCK, 372 ," $3,921 "," $2,104 ", $- , $60 , $- , $- , $3 ," $1,754 ",178,,,,
HARDEMAN," 1,544 "," $11,309 "," $6,762 ", $- , $310 , $- , $- , $29 ," $4,208 ",431,,,,
HARDIN," 2,142 "," $15,298 "," $9,227 ", $- , $407 , $- , $- , $91 ," $5,573 ",698,,,,
HAWKINS," 4,788 "," $45,118 "," $25,696 ", $- ," $1,081 ", $- , $- , $222 ," $18,120 ","2,064",,,,
HAYWOOD," 1,235 "," $7,585 "," $4,628 ", $- , $133 , $- , $- , $108 ," $2,717 ",302,,,,
HENDERSON," 1,739 "," $11,757 "," $6,926 ", $- , $337 , $- , $- , $35 ," $4,458 ",489,,,,
HENRY," 3,297 "," $24,853 "," $16,644 ", $- ," $1,081 ", $- , $- , $181 ," $6,946 ",901,,,,
HICKMAN," 1,689 "," $13,451 "," $6,803 ", $- , $490 , $- , $- , $116 ," $6,042 ",517,,,,
