ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,ANDERSON,"3,441","$33,931 ","$20,403 ", $- ,"$1,318 ", $- , $- ,$201 ,"$12,009 ","1,384"
16,TX,ANDREWS,686,"$3,321 ","$1,844 ", $- ,$250 , $- , $- ,$39 ,"$1,187 ",167
16,TX,ANGELINA,"5,712","$50,214 ","$30,259 ", $- ,"$2,361 ", $- , $- ,$659 ,"$16,935 ","2,182"
16,TX,ARANSAS,"2,623","$18,012 ","$11,599 ", $- ,$559 , $- , $- ,$119 ,"$5,735 ",706
16,TX,ARCHER,681,"$3,709 ","$1,955 ", $- ,$113 , $- , $- ,$46 ,"$1,595 ",222
16,TX,ARMSTRONG,177,"$1,584 ",$460 , $- ,$56 , $- , $- ,$4 ,"$1,064 ",78
16,TX,ATASCOSA,"3,087","$32,892 ","$20,539 ", $- ,"$1,884 ", $- , $- ,$276 ,"$10,193 ",999
16,TX,AUSTIN,"1,765","$12,337 ","$7,656 ", $- ,$670 , $- , $- ,$141 ,"$3,869 ",417
16,TX,BAILEY,332,"$1,317 ",$875 , $- ,$50 , $- , $- ,$10 ,$382 ,106
16,TX,BANDERA,"2,607","$28,611 ","$16,305 ", $- ,$910 , $- , $- ,$99 ,"$11,298 ",981
16,TX,BASTROP,"5,763","$54,755 ","$31,312 ", $- ,"$2,686 ", $- , $- ,$255 ,"$20,502 ","1,983"
16,TX,BAYLOR,236,"$2,366 ","$1,571 ", $- ,$54 , $- , $- ,$0 ,$741 ,77
16,TX,BEE,"2,129","$15,299 ","$8,880 ", $- ,$887 , $- , $- ,$111 ,"$5,422 ",538
16,TX,BELL,"58,869","$954,559 ","$567,873 ","$6,857 ","$128,090 ", $- ,"$2,272 ","$4,745 ","$244,722 ","25,679"
16,TX,BEXAR,"163,643","$2,065,849 ","$1,275,745 ","$5,997 ","$245,600 ", $- ,"$9,441 ","$13,644 ","$515,422 ","53,166"
16,TX,BLANCO,"1,004","$7,537 ","$4,313 ", $- ,$451 , $- , $- ,$22 ,"$2,751 ",290
16,TX,BORDEN,47,"$1,019 ",$13 , $- ,$40 , $- , $- , $- ,$966 ,75
16,TX,BOSQUE,"1,558","$17,257 ","$8,444 ", $- ,$411 , $- , $- ,$232 ,"$8,170 ",614
16,TX,BOWIE,"7,507","$68,286 ","$45,257 ", $- ,"$3,005 ", $- , $- ,$678 ,"$19,345 ","2,509"
16,TX,BRAZORIA,"18,926","$166,642 ","$94,441 ", $- ,"$15,497 ", $- , $- ,"$1,071 ","$55,633 ","5,484"
16,TX,BRAZOS,"8,421","$74,169 ","$39,921 ", $- ,"$14,507 ", $- , $- ,"$1,095 ","$18,646 ","2,365"
16,TX,BREWSTER,884,"$4,637 ","$2,756 ", $- ,$250 , $- , $- ,$23 ,"$1,608 ",211
16,TX,BRISCOE,82,$953 ,$464 , $- ,$28 , $- , $- ,$0 ,$460 ,51
16,TX,BROOKS,284,"$3,391 ","$2,424 ", $- ,$88 , $- , $- ,$8 ,$871 ,122
16,TX,BROWN,"3,144","$29,497 ","$14,190 ", $- ,"$1,477 ", $- , $- ,$153 ,"$13,676 ","1,249"
16,TX,BURLESON,"1,360","$11,925 ","$6,407 ", $- ,$370 , $- , $- ,$70 ,"$5,077 ",493
16,TX,BURNET,"3,984","$28,409 ","$15,899 ", $- ,"$1,219 ", $- , $- ,$455 ,"$10,836 ","1,200"
16,TX,CALDWELL,"2,495","$22,680 ","$13,736 ", $- ,"$1,270 ", $- , $- ,$158 ,"$7,516 ",806
16,TX,CALHOUN,"1,397","$11,855 ","$7,882 ", $- ,$377 , $- , $- ,$225 ,"$3,371 ",440
16,TX,CALLAHAN,"1,346","$11,702 ","$7,232 ", $- ,$326 , $- , $- ,$26 ,"$4,119 ",484
16,TX,CAMERON,"16,007","$209,331 ","$115,035 ", $- ,"$11,991 ", $- ,"$1,098 ","$1,073 ","$80,134 ","6,931"
16,TX,CAMP,860,"$8,188 ","$5,066 ", $- ,$300 , $- , $- ,$170 ,"$2,652 ",295
16,TX,CARSON,388,"$3,299 ","$1,752 ", $- ,$90 , $- , $- ,$12 ,"$1,446 ",140
16,TX,CASS,"2,563","$24,390 ","$15,799 ", $- ,$745 , $- , $- ,$56 ,"$7,789 ",893
16,TX,CASTRO,243,"$2,540 ",$990 , $- ,$50 , $- , $- ,$2 ,"$1,498 ",141
16,TX,CHAMBERS,"2,380","$13,595 ","$7,615 ", $- ,"$1,266 ", $- , $- ,$59 ,"$4,655 ",491
16,TX,CHEROKEE,"3,261","$19,835 ","$12,332 ", $- ,$510 , $- , $- ,$112 ,"$6,880 ",889
16,TX,CHILDRESS,505,"$2,606 ","$1,390 ", $- ,$131 , $- , $- ,$1 ,"$1,084 ",122
16,TX,CLAY,885,"$4,983 ","$3,273 ", $- ,$185 , $- , $- ,$27 ,"$1,499 ",253
16,TX,COCHRAN,127,"$1,008 ",$577 , $- ,$17 , $- , $- ,$7 ,$407 ,40
