Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,WA,ADAMS,594,"$3,864 ","$2,160 ", $- ,$166 , $- , $- ,$34 ,"$1,503 ",140
16,WA,ASOTIN,"2,343","$12,598 ","$7,778 ", $- ,$443 , $- , $- ,$261 ,"$4,115 ",670
16,WA,BENTON,"14,338","$76,030 ","$44,530 ", $- ,"$5,873 ", $- , $- ,$859 ,"$24,768 ","3,409"
16,WA,CHELAN,"5,046","$27,199 ","$17,255 ", $- ,"$1,179 ", $- , $- ,$447 ,"$8,317 ","1,260"
16,WA,CLALLAM,"8,853","$60,259 ","$36,671 ", $- ,"$2,157 ", $- , $- ,$711 ,"$20,720 ","2,129"
16,WA,CLARK,"35,986","$271,883 ","$131,639 ", $- ,"$21,655 ", $- , $- ,"$2,028 ","$116,562 ","10,582"
16,WA,COLUMBIA,459,"$3,547 ","$1,581 ", $- ,$108 , $- , $- ,$1 ,"$1,857 ",173
16,WA,COWLITZ,"9,712","$69,085 ","$38,034 ", $- ,"$3,554 ", $- , $- ,$367 ,"$27,130 ","2,764"
16,WA,DOUGLAS,"2,971","$13,207 ","$8,554 ", $- ,$599 , $- , $- ,$44 ,"$4,010 ",624
16,WA,FERRY,853,"$6,345 ","$4,170 ", $- ,$41 , $- , $- ,$49 ,"$2,086 ",298
16,WA,FRANKLIN,"3,616","$21,855 ","$13,232 ", $- ,"$1,995 ", $- , $- ,$127 ,"$6,500 ",960
16,WA,GARFIELD,231,"$1,413 ",$973 , $- ,$4 , $- , $- ,$0 ,$435 ,79
16,WA,GRANT,"5,076","$27,483 ","$17,517 ", $- ,"$1,497 ", $- , $- ,$128 ,"$8,341 ","1,182"
16,WA,GRAYS HARBOR,"6,621","$45,370 ","$28,541 ", $- ,"$1,370 ", $- , $- ,$329 ,"$15,130 ","1,665"
16,WA,ISLAND,"13,455","$99,517 ","$70,832 ", $- ,"$12,076 ", $- , $- ,"$1,177 ","$15,432 ","2,186"
16,WA,JEFFERSON,"4,006","$20,941 ","$13,826 ", $- ,$674 , $- , $- ,$253 ,"$6,187 ",778
16,WA,KING,"110,484","$812,271 ","$312,004 ","$72,236 ","$75,033 ", $- ,"$69,170 ","$11,034 ","$272,794 ","20,108"
16,WA,KITSAP,"37,086","$257,962 ","$176,457 ", $- ,"$31,471 ", $- , $- ,"$1,626 ","$48,408 ","5,947"
16,WA,KITTITAS,"3,000","$17,788 ","$9,928 ", $- ,"$2,405 ", $- , $- ,$332 ,"$5,123 ",577
16,WA,KLICKITAT,"2,011","$15,328 ","$8,463 ", $- ,$502 , $- , $- ,$157 ,"$6,206 ",723
16,WA,LEWIS,"8,023","$56,857 ","$32,567 ", $- ,"$2,156 ", $- , $- ,$720 ,"$21,415 ","2,428"
16,WA,LINCOLN,"1,222","$7,875 ","$5,159 ", $- ,$258 , $- , $- ,$62 ,"$2,396 ",330
16,WA,MASON,"7,759","$53,007 ","$34,649 ", $- ,"$2,589 ", $- , $- ,$170 ,"$15,599 ","1,798"
16,WA,OKANOGAN,"3,456","$25,581 ","$17,857 ", $- ,$417 , $- , $- ,$175 ,"$7,133 ","1,105"
16,WA,PACIFIC,"2,637","$19,119 ","$9,725 ", $- ,$313 , $- , $- ,$133 ,"$8,948 ",782
16,WA,PEND OREILLE,"1,606","$13,860 ","$7,323 ", $- ,$337 , $- , $- ,$51 ,"$6,149 ",662
16,WA,PIERCE,"90,934","$854,934 ","$524,722 ", $- ,"$108,429 ", $- ,$407 ,"$5,664 ","$215,712 ","24,728"
16,WA,SAN JUAN,"1,535","$4,776 ","$3,319 ", $- ,$98 , $- , $- ,$154 ,"$1,205 ",224
