State,Veteran Population*,Total Expenditure,Education Spending Percent,Compensation & Pension,Compensation & Pension Percentage,Education & Vocational Rehabilitation/ Employment,Education Spending Per Veteran
Alabama,413618,3191317,7,1875091,59,225325,545
Alaska,73397,552280,14,244437,44,74731,1018
Arizona                                                                                                                        ,532206,3607036,11,1666170,46,410041,770
Arkansas                                                                                                                       ,249274,2143834,4,1055813,49,95186,382
California,1851470,14318281,13,6376052,45,1848364,998
Colorado                                                                                                                       ,413271,3073039,12,1447416,47,379047,917
Connecticut                                                                                                                      ,213420,1171099,9,432271,37,106709,500
Delaware                                                                                                                     ,78099,398842,10,199732,50,38126,488
District of Columbia                                                                                                            ,29825,2703410,1,90387,3,35086,1176
Florida                                                                                                                     ,1583697,11688201,9,5618726,48,1043675,659
Georgia                                                                                                                     ,752882,5398211,10,3004840,56,528777,702
Hawaii                                                                                                                     ,121007,842115,20,388532,46,167447,1384
Idaho                                                                                                               ,132395,827990,7,401211,48,58612,443
Illinois                                                                                                               ,721575,4248086,8,1680632,40,349069,484
Indiana                                                                                                               ,476283,2667905,6,1239688,46,165293,347
Iowa                                                                                                              ,231655,1339350,6,592671,44,78530,339
Kansas                                                                                                             ,221206,1358491,8,632709,47,113362,512
Kentucky                                                                                                             ,330599,2425358,6,1255748,52,155455,470
Louisiana                                                                                                        ,330145,2540466,6,1211754,48,146468,444
Maine                                                                                                       ,127234,959396,5,541754,56,45924,361
Maryland                                                                                                      ,437762,2688111,14,1228854,46,364342,832
Massachusetts,379772,2593152,8,1159009,45,209261,551
Michigan,658469,3753563,6,1983451,53,232514,353
Minnesota,369149,2564646,6,1146384,45,151587,411
Mississippi,220389,1657042,6,776679,47,100467,456
Missouri                                                                                                                       ,494346,3440223,6,1651755,48,209426,424
Montana                                                                                                                        ,99646,731755,6,335093,46,42166,423
Nebraska                                                                                                                       ,143375,1136146,6,557741,49,70254,490
Nevada                                                                                                                         ,228027,1780651,6,776443,44,108908,478
New Hampshire                                                                                                                  ,113660,674052,9,311022,46,58392,514
New Jersey                                                                                                                    ,428396,2115578,10,1047058,49,214108,500
New Mexico                                                                                                                     ,171528,1450002,5,794229,55,79524,464
New York                                                                                                                      ,892221,6123810,9,2396837,39,548240,614
North Carolina                                                                                                                ,775020,5949873,8,3328183,56,478939,618
North Dakota                                                                                                                   ,57395,367003,7,171165,47,25528,445
Ohio                                                                                                                           ,866481,7504281,4,2235023,30,324969,375
Oklahoma                                                                                                                      ,337571,2934748,5,1823983,62,155650,461
Oregon                                                                                                                         ,331632,2542834,6,1282449,50,142348,429
Pennsylvania                                                                                                                   ,939069,5260391,7,2432807,46,376417,401
Rhode Island                                                                                                                   ,71966,529503,8,232604,44,40498,563
South Carolina                                                                                                                 ,417554,3289095,8,1868959,57,267185,640
South Dakota                                                                                                                   ,72030,619864,5,238175,38,31787,441
Tennessee                                                                                                                      ,506340,3758888,7,1995305,53,269071,531
Texas                                                                                                                          ,1680418,15394005,9,7282260,47,1357830,808
Utah                                                                                                                           ,151719,1029344,12,433073,42,120457,794
Vermont                                                                                                                        ,48602,295362,7,135803,46,20321,418
Virginia                                                                                                                       ,781388,5251707,18,2729280,52,931880,1193
Washington                                                                                                                     ,603623,3811479,10,2070141,54,392247,650
West Virginia                                                                                                                  ,167355,1826167,3,722958,40,49784,297
Wisconsin                                                                                                                     ,413723,2665107,5,1142091,43,143544,347
Wyoming                                                                                                                        ,49708,383891,5,152461,40,17544,353
Puerto Rico                                                                                                                   ,93240,1563237,4,816544,52,65064,698
Guam,9453,88631,17,51981,59,15389,1628
